,Owner,BuildingsOwned,TotalSquareFootage,TotalGHGEmissions__metric_tons_,TotalElectricity_kBtu_,TotalSteamUse_kBtu,TotalNaturalGas_kBtu,TotalOtherFuelUse_kBtu,AverageGHGEmissionsIntensity,AverageSiteEUI_kBtu_sf,AverageSourceEUI_kBtu_sf,AverageENERGYSTARScore
773,SALMON BAY INVESTMENT GROUP LLC,1,33385,6,1181135,0,0,0,0.2,35.4,99.1,85.0
774,LAKESHORE DEVELOPMENT ASSOC L P,1,124930,122,3556508,0,1948964,0,1.0,41.6,90.7,
775,FRMC LLC,1,60880,280,6586228,0,4623164,0,4.6,181.8,377.8,81.0
776,CARKEED PARK PLACE L L C,1,91435,66,2619222,0,988306,0,0.7,39.5,91.6,81.0
777,ABC PACIFIC CORPORATION $T,1,58480,158,5222458,0,2467165,0,2.7,173.1,387.4,80.0
778,CAPITOL HILL HOUSING IMPROVEME,1,20400,4,811761,0,0,0,0.2,39.7,111.2,74.0
779,CENTURY HOUSE ASSOCIATES LLC,1,58485,13,2531997,0,0,0,0.2,43.3,121.2,38.0
780,WESTVIEW ON BEACON HILL LLP,1,107518,142,2186719,0,2464984,0,1.3,43.3,81.0,78.0
781,COHANIM 6040 CALI LLC,1,29357,3,557179,0,0,0,0.1,19.0,53.1,99.0
782,VSTONE 36 LLC +5451 CALIFORNIA LLC,1,24180,2,547887,0,0,0,0.1,22.7,63.4,73.0
783,BRATVOLD AB LIVING TRUST,1,20010,3,613579,0,0,0,0.2,30.7,85.9,81.0
784,CRE 5600 PARTNERS LLC +CRE ELISE LLC,1,26261,3,606328,0,0,0,0.1,23.1,64.6,88.0
785,FAUNTLEROY COMMUNITY SERVICE AGENCY,1,49066,175,396430,0,3268293,0,3.6,74.8,92.7,
786,R C PATRNERSHIP,1,35222,16,901744,0,222723,0,0.5,31.9,78.3,
787,SOUTH TACOMA WAY L L C,1,20600,5,146210,0,80886,0,0.2,11.0,24.0,
788,2520 AIRPORT WAY S LLC,1,20724,70,255892,0,1298857,0,3.4,75.0,100.4,
789,WSA PROPERTIES VI LLC,1,20747,2,474558,0,7700,0,0.1,23.2,64.4,
790,ACES FOUR LLC,1,20975,0,0,0,0,0,,,,
791,ELEVATE PROPCO XII LLC,1,22622,31,240876,0,569577,0,1.4,35.2,55.3,
792,CREF3 LANDER OWNER LLC,1,24109,24,4588328,0,0,0,1.0,190.3,532.9,
793,SEATTLE ARTS PROJECT LLC,1,65288,28,755984,0,456166,0,0.4,18.6,39.8,
794,WSA PROPERTIES XI LLC,1,125519,10,1908815,0,0,0,0.1,13.4,37.4,
795,EAST MARGINAL INDUSTRIAL LLC,1,243044,269,18544810,0,3213219,0,1.1,66.9,169.9,
796,DAKOTA ASSOCIATES LLC,1,22324,18,143883,0,326039,0,0.8,22.4,35.5,71.0
797,MERLINO HOLDINGS II L L C,1,25000,5,170005,0,90678,0,0.2,10.4,22.8,75.0
798,4400 BUILDING LLC,1,39984,33,315929,0,602755,0,0.8,23.0,38.0,82.0
799,PEDERSEN ESTATES INC,1,31569,42,270596,0,765183,0,1.3,31.4,47.3,78.0
800,4800 DENVER LLC,1,30000,116,327670,0,2161815,0,3.9,83.0,106.2,57.0
801,UV-2225 1ST AVE SOUTH LLC,1,26280,28,106886,0,523667,0,1.1,19.7,26.5,
802,1701 FIRST AVENUE SOUTH LLC,1,27690,0,0,0,0,0,,,,
803,QG SEATTLE LLC,1,41276,94,739874,0,1705225,0,2.3,59.2,93.6,35.0
804,WSA PROPERTIES II LLC,1,40800,28,341284,0,498939,0,0.7,32.1,56.5,72.0
805,R & S INVESTMENTS LLC,1,48890,47,476160,0,842482,0,1.0,27.0,45.4,80.0
806,A2A LLC,1,20400,19,290701,0,345913,0,1.0,31.2,57.7,58.0
807,FM 151 SOUTH LANDER LLC,1,29394,27,731603,0,438831,0,0.9,39.8,85.4,41.0
808,CREF3 3RD AVE OWNER LLC,1,48280,45,1344188,0,717026,0,0.9,42.7,93.6,59.0
809,ATALANTA 5631 CALIFORNIA AVE LLC,1,23932,2,541463,0,0,0,0.1,22.6,63.4,
810,BRIDGES ANNEX LLC,1,25003,3,641631,0,0,0,0.1,22.4,62.7,93.0
811,2001 PLUM LLC,1,25920,14,1023914,0,171069,0,0.6,46.1,117.5,17.0
812,ORE 6525 CALIFORNIA LLC,1,33521,12,750429,0,166274,0,0.4,30.1,74.6,
813,U S WEST COMMUNICATIONS INC,1,61050,77,1548747,0,1297674,0,1.3,46.6,93.4,
814,CENTRAL DISTRICT CPDA,1,114000,77,2646435,0,1188277,0,0.7,33.6,75.9,
815,MYCON STEVEN C+DEBORAH J,1,20047,0,135125,0,0,0,0.0,6.7,18.9,
816,SEATTLE INDIAN HEALTH BOARD,1,45145,9,1694270,0,0,0,0.2,37.5,105.1,75.0
817,ACRS COMMUNITY SERVICE CENTER L L C,1,55188,95,1832868,0,1620254,0,1.7,62.6,123.8,84.0
818,WCC REALTY LLC,1,58665,17,3214940,0,0,0,0.3,54.8,153.4,98.0
819,JACKSON INVESTORS NORTH LLC,1,21200,7,1492162,0,0,0,0.4,70.4,197.1,18.0
820,RAINIER ELECTRONIS LLC,1,291940,134,7740122,0,1751457,0,0.5,32.5,80.5,95.0
821,ASIAN PACIFIC PROPERTIES L.L.C,1,26579,136,1752889,0,2396083,0,5.1,140.0,250.5,
822,HAMLIN ROBINSON SCHOOL,1,45000,6,1177072,0,0,0,0.1,25.7,72.1,62.0
823,C J & J PACIFIC L L C,1,28296,36,1045952,0,586041,0,1.3,57.7,125.2,33.0
824,IFO & ASSOCIATES LLC,1,25200,39,1121305,0,634157,0,1.6,73.1,158.6,
825,1225 MAR LLC,1,48237,25,1499544,0,335367,0,0.5,41.3,102.5,88.0
826,WELLSPRING FAMILY SERVICES,1,38075,18,2380858,0,104163,0,0.5,65.3,178.0,
827,22ND AVE S LLC,1,29740,13,1072236,0,153079,0,0.5,41.2,106.4,61.0
828,1130 RAINIER PROPERTIES LLC,1,62220,12,2254734,0,0,0,0.2,36.4,101.8,87.0
829,2100 BUILDING LLC,1,63681,23,4421423,0,0,0,0.4,69.4,194.4,29.0
830,EL CNETRO DE LA RAZA,1,52554,115,843900,0,2080890,0,2.2,49.7,77.2,76.0
831,MADISONIAN MANAGER LLC,1,70728,84,1192932,0,1467625,0,1.2,37.6,69.0,59.0
832,JORVE INVESTMENTS LLC,1,33706,0,0,0,0,0,,,,
833,BLAKE ASSOCIATES LLC,1,72356,49,1803709,0,751844,0,0.7,35.3,80.7,98.0
834,WEST SEATTLE APARTMENTS & HOMES LLC,1,26498,3,726534,0,0,0,0.1,28.1,78.6,78.0
835,HALCYON APARTMENTS LLC,1,21464,3,585116,0,0,0,0.1,22.2,62.2,91.0
836,FITZ L L C,1,22984,3,639876,0,0,0,0.1,27.8,78.0,63.0
837,6312 CALIFORNIA AVENUE LLC,1,54871,8,1520381,0,0,0,0.1,34.6,96.9,63.0
838,BIG RIG LLC,1,22632,3,562788,0,0,0,0.1,18.7,52.4,96.0
839,EECKHOUDT JAMES M,1,22195,3,617468,0,0,0,0.1,27.8,77.9,74.0
840,YU JUDY,1,26254,3,695462,0,0,0,0.1,26.5,74.2,89.0
841,CEDRUS PROPERTIES LLC,1,25160,2,517022,0,0,0,0.1,20.5,57.5,93.0
842,MERIDIAN TERRACE APARTMENTS LLC,1,35854,5,981426,0,0,0,0.1,27.4,76.6,92.0
843,FIRENZE LLC,1,25020,23,900792,0,343854,0,0.9,49.6,114.9,99.0
844,YESLER INVESTORS 3 LLC,1,226427,25,4514352,0,18078,0,0.1,20.0,55.9,100.0
845,YESLER INVESTORS 2 LLC,1,187248,25,3612104,0,115025,0,0.1,19.9,54.7,100.0
846,EAST UNION 22 LLC,1,132078,20,3885739,0,0,0,0.2,41.7,102.5,64.0
847,PIKE FLATS LLC,1,38724,32,1084412,0,508806,0,0.8,41.1,92.2,
848,1420 EAST MADISON STREET LLC,1,51734,59,1541219,0,960029,0,1.1,48.3,102.9,89.0
849,2051 MADISON STREET PARTNERS LLC,1,82544,75,1541036,0,1259787,0,0.9,24.9,50.2,99.0
850,GS ZIG LLC,1,138434,88,5552163,0,1113133,0,0.6,59.6,149.4,36.0
851,BELLEVUE AVE COVE HOLDINGS LLC + ET AL,1,43021,26,961726,0,406719,0,0.6,31.8,72.5,98.0
852,MAD FLATS LLC,1,20838,22,698598,0,354892,0,1.1,63.8,141.0,93.0
853,REVERB APARTMENTS LLC,1,71685,37,1256999,0,583234,0,0.5,25.7,57.6,100.0
854,DECIBEL APARTMENTS LLC,1,61179,40,708161,0,691878,0,0.7,22.1,42.8,
855,PINE & MELROSE LLC,1,185462,142,3834010,0,2306725,0,0.8,41.1,92.7,96.0
856,RISE-CG CAPITOL HILL LP,1,113894,92,2334452,0,1505495,0,0.8,33.6,70.9,99.0
857,TA PIKE MOTORWORKS LLC,1,85317,117,5294305,0,1681016,0,1.4,30.1,71.6,79.0
858,WHITE HEATHER APARTMENTS LLC,1,21469,3,558831,0,0,0,0.1,26.0,72.9,75.0
859,TRPF 1525 HARVARD AVENUE LLC,1,80371,57,1882085,0,886133,0,0.7,35.5,79.5,93.0
860,CWS ANTHEM LP,1,103792,63,1958981,0,999344,0,0.6,33.1,73.1,98.0
861,ASB REO FLATS LLC,1,88455,111,2390254,0,1850942,0,1.3,52.8,107.6,78.0
862,954 EAST UNION LLC,1,107556,13,2507904,0,0,0,0.1,35.6,99.6,78.0
863,BROADSTONE CAPITAL HILL VENTURE LLC,1,241130,193,4190400,0,3221716,0,0.8,26.6,54.3,100.0
864,SEATTLE MADISON LLC,1,91159,10,1920377,0,0,0,0.1,35.5,78.0,96.0
865,ASB SUNSET ELECTRIC LLC,1,99700,12,1781303,0,54406,0,0.1,27.5,75.6,97.0
866,ENGELMANNII HOUSE LLC,1,31981,33,875313,0,541240,0,1.0,49.1,104.7,100.0
867,BARCLAY 118 LLC,1,94933,90,1786907,0,1518267,0,0.9,32.9,65.7,99.0
868,PINE & BELMONT LLC,1,104664,85,2816268,0,1333020,0,0.8,27.0,60.4,
869,19TH AND MADISON LLC,1,129219,29,3433322,0,208193,0,0.2,28.2,76.1,96.0
870,JEFFERSON & 12TH LLC,1,47022,33,983824,0,523336,0,0.7,30.3,66.5,97.0
871,1222 EAST MADISON L L C,1,75025,46,2116412,0,656064,0,0.6,37.0,88.2,96.0
872,BOREN AND SPRUCE LLC,1,52724,31,950588,0,506219,0,0.6,40.6,88.9,96.0
873,SORENTO ON YESLER OWNER LLC,1,44016,53,1236828,0,882489,0,1.2,64.6,133.7,100.0
874,HYCROFT INTERNATIONAL,1,38123,40,725119,0,682434,0,1.1,36.9,72.1,98.0
875,LIBERTY BANK COMMERCIAL LLC,1,101046,71,1970127,0,1152012,0,0.7,30.8,66.3,97.0
876,WORKSHOPS SEATTLE LAKE CITY WAY,1,30948,4,926824,0,0,0,0.2,39.5,110.6,
877,NG 295 DEVELOPMENT LLC,1,32009,46,978727,0,785958,0,1.5,22.7,45.8,
878,BILLINGS MIDDLE SCHOOL,1,32961,1,321559,0,0,0,0.1,38.6,57.6,
879,INDONESIAN FULL GOSPEL FELLOWSHIP OF STATE OF WASHINGTON,1,76475,42,355278,0,768507,0,0.6,14.7,23.6,
880,PACMED CLINICS,1,21329,13,2547249,0,0,0,0.6,123.8,346.6,1.0
881,5TH AVE MEDICAL ASSOCIATES LLC,1,28841,28,834651,0,451055,0,1.0,44.6,97.5,65.0
882,SAINT ANNE CORPORATION,1,22583,85,647868,0,1548319,0,3.8,97.2,152.3,87.0
883,WELL CA WA LANDLORD LLC,1,31680,63,1274723,0,1061730,0,2.0,69.7,139.8,82.0
884,ALJOYA THORNTON PLACE LLC,1,179775,211,6123281,0,3371938,0,1.2,38.8,84.6,93.0
885,NORTHAVEN DEVELOPMENT,1,21620,62,790479,0,1101345,0,2.9,77.5,138.1,74.0
886,CRP/CSH NORTHGATE LLC,1,94711,92,2777388,0,1465139,0,1.0,44.8,98.3,57.0
887,GRE FOUNDATION HOUSE LLC,1,33435,74,2335522,0,1171233,0,2.2,80.3,177.9,42.0
888,MGP XIV LLC,1,89391,131,3807209,0,2086170,0,1.5,65.9,143.8,53.0
889,GRE/NOP FIFTH AVENUE LLC,1,41615,2,497057,0,0,0,0.1,11.9,33.4,100.0
890,PAN WASHINGTON LLC,1,530039,296,6274733,0,4947773,0,0.6,21.2,42.9,100.0
891,BRFII NORTHGATE LLC,1,98539,33,4322786,0,204624,0,0.3,45.9,125.0,
892,INLAND WESTERN SEATTLE NORTHGAGE NORTH LLC,1,283435,380,18193245,0,5347346,0,1.3,77.2,185.4,
893,CHSW HOLDINGS NORTHWEST LLC,1,50759,13,2578840,0,0,0,0.3,50.8,142.3,57.0
894,INVESTMENTS PROPERTY AQUISITIONS LLC,1,22405,54,897188,0,933583,0,2.4,85.2,162.4,
895,FIRST COVENANT CHURCH OF,1,46560,29,284082,0,530722,0,0.6,17.5,29.1,
896,JAMES TOWER LLC,1,597519,4805,56050971,0,84872338,0,8.0,234.2,409.0,47.0
897,UNION GOSPEL MISSION ASSN SEAT,1,25200,39,189281,0,720012,0,1.6,36.1,51.0,
898,BASTA MATT J LLC,1,43200,39,717366,0,679134,0,0.9,32.3,63.0,58.0
899,SPTSUN II PROPERTIES TRUST,1,45082,157,2345006,0,2723663,0,3.5,112.4,209.1,
900,STORAGE EQUITIES INC,1,61880,4,822374,0,100,0,0.1,13.3,37.2,
901,CAPITAL HILL PARTNERS,1,132828,6,1138431,0,0,0,0.0,9.5,26.7,
902,BELLWETHER VIEWS LLC,1,136682,216,2733787,0,3809275,0,1.6,47.9,85.3,74.0
903,LOTS II L L C,1,184980,112,3384755,0,1787397,0,0.6,39.4,86.5,96.0
904,1700 MADISON APARTMENTS LLC,1,62256,27,5122620,0,0,0,0.4,82.3,230.4,2.0
905,EQR-PEARL LLC,1,75050,94,1782509,0,1595259,0,1.3,45.0,88.8,86.0
906,VITALITY ON HOWELL LLC,1,24452,22,389219,0,380238,0,0.9,32.6,63.1,100.0
907,AGNES PISTON L L C,1,32881,99,1186991,0,1762801,0,3.0,85.9,150.6,
908,1531 BROADWAY LLC,1,54899,33,1433315,0,483875,0,0.6,33.7,79.6,97.0
909,UNION 18 PARTNERS LLC,1,37824,33,1402708,0,485139,0,0.9,41.2,96.8,64.0
910,MACRI THERESA,1,25920,16,448381,0,272470,0,0.7,27.8,59.5,87.0
911,ARLLIS ARMS APARTMENTS LLC,1,26172,4,784810,0,0,0,0.2,30.0,84.0,59.0
912,MADISON COURT PARTNERS LIMITED LIABILITY COMPANY,1,31228,5,945166,0,14281,0,0.2,30.7,85.2,77.0
913,UPPER PINE LLC,1,20509,18,258316,0,322465,0,0.9,28.3,51.8,
914,PARK ROYAL APARTMENTS LLC,1,24865,3,703992,0,0,0,0.2,28.3,79.3,81.0
915,BYRON MICHAEL,1,23616,42,201411,0,770324,0,1.8,41.1,58.1,87.0
916,PROJECT S47 LLC,1,25536,102,165656,0,1915841,0,4.0,81.5,96.9,36.0
917,CASCADIA APARTMENTS C/O CASCADIA APARTMENTS C/O GEMPERLE A RICHARD+MARY BETH,1,25808,14,484902,0,218550,0,0.5,27.3,61.5,94.0
918,GORDON ELYSE,1,40112,69,309351,0,1283594,0,1.7,39.7,55.2,90.0
919,ST JOHN INVESTORS LLC,1,24682,72,819319,0,1288461,0,2.9,88.2,152.5,
920,PIKE STREET TPII LLC,1,23597,26,717542,0,423357,0,1.1,28.9,62.2,99.0
921,HYCROFT INTERNATIONAL LLC,1,20380,3,668944,0,0,0,0.2,35.8,100.3,66.0
922,PIONEER HUMAN SVCS,1,25536,89,558203,0,1624739,0,3.5,108.1,161.8,77.0
923,RIALTO COURT LLC,1,26684,3,639948,0,0,0,0.1,24.0,67.2,92.0
924,CRE BUENA VISTA PARTNERS LLC,1,22800,51,273930,0,942950,0,2.3,53.4,77.1,87.0
925,MITSUMARU ESTATE CO LTD,1,61776,49,1119608,0,824343,0,0.8,32.1,66.1,
926,MORRIS APARTMENTS LLC,1,20340,37,306775,0,672039,0,1.8,48.1,76.9,86.0
927,DK SUMMIT PLACE LLC,1,29647,3,703236,0,0,0,0.1,23.7,66.4,89.0
928,ABONITA LLC,1,27792,29,688686,0,478068,0,1.0,42.0,87.4,75.0
929,LA MAISON ASSOCIATES LLC & WINCHESTER APTS LLC,1,22795,55,176114,0,1024363,0,2.4,52.7,68.8,89.0
930,OLIVE TERRACE APARTMENTS LLC,1,28094,5,990712,0,0,0,0.2,35.3,98.7,
931,WEINER JERALD DAVID+MARC V -REV TRUST,1,30040,62,281076,0,1141969,0,2.1,47.4,66.1,90.0
932,1630 LLC,1,26246,76,196007,0,1419504,0,2.9,61.6,77.7,80.0
933,BOYLSTON COURT ASSOCIATES,1,21073,53,268959,0,986187,0,2.6,59.6,84.9,78.0
934,GORDON VAN BUREN LLC +1711 FELSON PARTNERS LP,1,23397,16,523928,0,262517,0,0.7,33.6,74.5,90.0
935,MARTIN SQUARED L L C,1,47971,34,1066892,0,542146,0,0.7,35.1,77.7,74.0
936,EQR-PACKARD LLC,1,62338,82,1933936,0,1355993,0,1.3,52.1,108.2,41.0
937,MELROSE & OLIVE LLC,1,37992,20,598971,0,320593,0,0.5,28.3,61.9,97.0
938,OLYMPIAN LLC,1,44644,56,675175,0,986205,0,1.3,37.2,65.5,90.0
939,MADISON PLACE AT 19TH L L C,1,31769,4,824658,0,0,0,0.1,26.0,72.7,80.0
940,BOYLSTON FLATS LLC,1,52253,37,801020,0,628245,0,0.7,28.0,56.9,100.0
941,CHARBERN L L C,1,49357,33,1302033,0,497866,0,0.7,36.5,84.5,91.0
942,KISSEL JULIA GUNN,1,33279,85,422709,0,1566460,0,2.6,62.6,89.0,93.0
943,SUMMIT HOUSE APARTMENTS REAL ESTATE INVESTMENTS LLC,1,46527,85,610430,0,1542020,0,1.8,46.3,71.5,94.0
944,MANCHESTER SERIES 1 LLC,1,23600,99,310584,0,1842323,0,4.2,91.2,118.8,91.0
945,DUNN AUTOMOTICE BUILDING LLC,1,90280,41,1739901,0,607378,0,0.5,25.9,60.9,100.0
946,SUMMIT ARMS LLC,1,27320,4,870517,0,0,0,0.2,31.9,89.2,61.0
947,BOYLSTON HOWELL APARTMENTS LLC,1,20930,27,730487,0,446499,0,1.3,44.4,94.9,94.0
948,BURLINGAME PARTNERS L P,1,26694,40,458300,0,718745,0,1.5,40.5,70.1,
949,W R P ASSOCIATES OF BELLEVUE,1,40992,7,1452733,0,0,0,0.2,33.9,95.0,96.0
950,BATTERY STREET LTD,1,63076,12,1780410,0,61902,0,0.2,36.0,98.6,95.0
951,BELLEVUE OLIVE LLC,1,48587,34,1307949,0,527077,0,0.7,36.2,83.2,95.0
952,CAPITOL STEPS L.L.C,1,58905,8,1593225,0,0,0,0.1,38.3,107.2,69.0
953,BELLEVUE TERRACE L L C,1,24962,4,754159,0,0,0,0.2,30.2,84.6,79.0
954,EQR-320 PINE LLC,1,90314,174,3053492,0,2972109,0,1.9,66.7,129.2,56.0
955,PANTAGES APT LLC,1,38713,45,1068853,0,741291,0,1.2,45.4,94.6,71.0
956,MOUNT ZION MADISON STREET PROPERTIES,1,56981,7,1491138,0,0,0,0.1,26.2,73.3,
957,BRYSON PROPERTIES L L C,1,20332,15,206188,0,267479,0,0.8,23.3,42.2,
958,EQR-CHLOE LLC,1,110478,136,3034490,0,2266424,0,1.2,48.0,98.4,78.0
959,KAYKAS-WOLFF JASCHA+REBECCA C,1,50749,11,1451239,0,62052,0,0.2,29.8,81.4,80.0
960,GUSTAFSON BELINDA J ET AL,1,27005,3,679248,0,0,0,0.1,25.2,70.4,99.0
961,JBJ ALDERVIEW LLC,1,31318,4,751958,0,0,0,0.1,24.0,67.2,84.0
962,SPRUCE APARTMENTS LLC,1,45572,9,1691740,0,0,0,0.2,37.1,103.9,93.0
963,1011 E TERRACE ST OWNER LLC,1,65948,202,2520898,0,3557996,0,3.1,81.5,144.8,40.0
964,COUCH INVESTMENTS IV,1,28350,9,1102780,0,67092,0,0.3,25.2,68.0,99.0
965,GMC LLC,1,42561,8,1508341,0,0,0,0.2,42.8,120.0,35.0
966,DDH PARTNERS L L C,1,29683,5,908675,0,21008,0,0.2,31.3,86.5,66.0
967,RISE PROPERTIES ( CITYWALK)  LP,1,103345,0,0,0,0,0,0.0,,,
968,TWENTY-FOUR SAC SELF-STORAGE LP,1,52088,70,462910,0,1283543,0,1.4,33.5,50.8,
969,HOME DEPOT USA INC,1,101830,253,3055344,0,4465402,0,2.5,73.3,129.1,81.0
970,TRB SEATTLE INC,1,114000,374,6984292,0,6347361,0,3.3,116.8,229.8,70.0
971,MGP X AURORA LLC,1,87665,24,4690845,0,0,0,0.3,36.4,102.0,
972,EBERHARTER/MERIDIAN LLC,1,27574,6,1158692,0,0,0,0.2,42.0,117.7,64.0
973,THISTLEDOWN LLC  % JULIA L CALHOUN,1,26275,10,1977255,0,0,0,0.4,75.3,210.7,11.0
974,TLK PROPERTIES LLC,1,39815,41,1137419,0,667459,0,1.0,45.3,97.6,72.0
975,NORTHWAY WEST LLC,1,86483,28,5424428,0,0,0,0.3,62.7,175.6,40.0
976,SEATTLE HOTEL INVESTMENT LLC,1,33120,42,970181,0,707438,0,1.3,40.2,82.9,99.0
977,NORTHGATE INNS INC,1,64892,119,2190859,0,2034710,0,1.8,65.1,127.5,85.0
978,PCK-DLK LLC,1,43387,6,1224081,0,0,0,0.2,34.3,79.4,
979,H-P PROPERTIES/ALLSTAR LLC,1,57236,235,3533460,0,4070674,0,4.1,135.8,253.0,
980,HULING BROS PROP LLC,1,25762,10,1884564,0,0,0,0.4,73.2,204.8,96.0
981,LIFE YANCY 653 LLC,1,66610,12,307385,0,210955,0,0.2,8.3,17.4,
982,PHN WEST SEATTLE LLC +IRONHORSE TO WEST SEATTLE LLC +ET AL,1,99625,50,1816496,0,772105,0,0.5,20.9,47.6,99.0
983,TELFORD HOLDINGS INCORPORATED,1,22646,3,740305,0,0,0,0.2,32.7,91.5,58.0
984,NOVA APARTMENTS LLC,1,59205,6,1146214,0,0,0,0.1,19.0,53.1,97.0
985,SEACLIFF GOTHARD L L C,1,55665,8,1665239,0,0,0,0.2,29.3,82.2,85.0
986,SEACLIFF WESTSIDE II LLC,1,21294,3,642739,0,0,0,0.2,36.1,101.0,93.0
987,AVALON WEST PARTNERS LLC,1,21294,3,586404,0,0,0,0.1,27.5,77.1,88.0
988,CBYW WEST SEATTLE PROPCO LLC,1,85990,56,2857271,0,768879,0,0.7,37.0,89.8,78.0
989,SVF LINK SEATTLE LLC,1,166230,133,2925729,0,2225008,0,0.8,31.0,63.3,100.0
990,EVARONE JACK W,1,28683,3,667185,0,0,0,0.1,23.3,65.1,
991,SOCKO LLC,1,30252,4,800438,0,0,0,0.1,26.5,74.1,92.0
992,HILL CREST WEST SEATTLE LLC,1,63198,8,1656272,0,0,0,0.1,26.2,73.4,95.0
993,HUNTINGTON RETIREMENT HOMES,1,89549,51,2457992,0,717523,0,0.6,35.5,85.3,58.0
994,BARTON COURT ASSOCIATES LLC,1,25301,4,779222,0,0,0,0.2,30.8,86.2,82.0
995,FAIRWAY BUILDING LLC,1,25891,3,620311,0,0,0,0.1,24.0,67.1,86.0
996,SWEENEY ORCHARDS TWO LLC,1,23983,7,496760,0,81331,0,0.3,26.4,67.4,94.0
997,TALL COMPANY LLC,1,48139,29,387931,0,507592,0,0.6,22.4,40.5,100.0
998,MIRALY PATSM LLC,1,26115,36,879299,0,607568,0,1.4,56.9,118.7,62.0
999,ATHENAS OWL LLC,1,20088,0,0,0,0,0,0.0,,,
1000,BROWN THEODORE F,1,41132,0,0,0,0,0,0.0,,,
1001,TRISTAR PROPERTIES LLC,1,23346,4,781724,0,0,0,0.2,33.5,93.8,82.0
1002,COUCH INVESTMENTS II LLC,1,49133,6,1296972,0,0,0,0.1,26.4,73.9,76.0
1003,OLYMPIC VIEW APARTMENTS LLC,1,26941,3,675179,0,0,0,0.1,25.1,70.2,92.0
1004,GREENWOOD VISTA LLC,1,25914,17,465978,0,273334,0,0.7,28.5,61.4,91.0
1005,GREENWOOD WINCHESTER APARTMENTS LLC,1,22344,5,1098456,0,0,0,0.3,29.2,81.8,89.0
1006,LEILANI AT 124 APARTMENTS LLC,1,32599,5,1111475,0,0,0,0.2,28.1,78.8,88.0
1007,LUTHERAN ALLIANCE TO CREATE HOUSING,1,32676,5,941378,0,0,0,0.2,28.8,80.7,87.0
1008,AKI 1 LLC,1,29810,11,2090272,0,0,0,0.4,56.0,156.8,
1009,YSG HOLDINGS CO,1,26040,4,898142,0,0,0,0.2,34.5,96.6,48.0
1010,HASHIM JOHN C,1,43800,6,1220431,0,0,0,0.1,21.2,59.2,94.0
1011,GUSTAVEL JEREMY+CHRISTINE,1,37906,4,855550,0,0,0,0.1,19.2,53.6,95.0
1012,YSG HOLDINGS CO LTD,1,41336,7,1399470,0,0,0,0.2,23.3,65.3,87.0
1013,RISE PROPERTIES WOODLAND POINTE LP,1,89068,16,3107374,0,0,0,0.2,41.9,117.4,41.0
1014,TIME WARPP III LLC,1,30940,2,542019,0,0,0,0.1,17.5,49.1,98.0
1015,NELSON APARTMENTS LLC,1,60767,9,1774864,0,0,0,0.2,29.2,81.8,94.0
1016,BROADVIEW 125 LLC,1,23271,3,572285,0,0,0,0.1,21.0,58.7,95.0
1017,NORTHPARK VILLAGE L.L.C,1,43130,6,1133601,0,0,0,0.1,26.3,73.5,93.0
1018,ALKI PARK APTS 2012 LLC +4128 12TH AVE NE 2016 LLC,1,20480,3,615997,0,0,0,0.2,30.1,84.2,
1019,GREENWOOD NORTH ADARTMENTS LLC +GREENWOOD NORTH APARTMENTS LLC,1,31317,4,843533,0,0,0,0.1,32.7,91.6,59.0
1020,MERIDIAN MANOR NORTH L L C,1,75070,20,3776787,0,0,0,0.3,50.3,140.9,29.0
1021,BROADVIEW DEVELOPMENT ASSOC II,1,284970,454,2951928,0,8265612,0,1.6,43.7,66.1,85.0
1022,SUMMER AURORA LLC,1,29924,11,2238638,0,0,0,0.4,65.9,184.4,
1023,11010 GREENWOOD SEATTLE LLC,1,21936,31,65292,0,587985,0,1.4,29.8,36.5,73.0
1024,NW FEDERAL CREDIT UNION,1,39017,77,1617629,0,1290025,0,2.0,78.0,157.8,81.0
1025,HR I ACQUISITION CORPORATION,1,48798,14,2788071,0,0,0,0.3,59.0,165.2,50.0
1026,HR ACQUISITION 1 CORPORATION,1,69854,23,4344796,0,161,0,0.3,62.3,174.5,25.0
1027,HR ACQUISITION I CORPORATION,1,86400,344,4157590,0,6066602,0,4.0,130.6,230.1,46.0
1028,MMJV LLC,1,81732,12,2386128,0,0,0,0.2,29.2,81.7,90.0
1029,BOLLER HURDITCH -RLT,1,31236,4,921472,0,0,0,0.2,29.5,82.6,84.0
1030,HARBOR SQUARE APARTMENTS LLC,1,28033,21,377484,0,364008,0,0.8,26.6,51.5,95.0
1031,ROOSEVELT PARK APARTMENTS LLC,1,24800,3,641691,0,0,0,0.1,25.9,72.4,72.0
1032,BRADLEY HILL FAMILY LTD PTSHP,1,28899,4,889186,0,0,0,0.2,30.8,86.2,77.0
1033,PLAZA 15 LLC,1,97254,11,2237661,0,0,0,0.1,23.0,64.5,81.0
1034,MIKE AND LISA KELLEY LLC,1,21580,2,534446,0,0,0,0.1,24.8,69.3,75.0
1035,EDERLING L L C,1,21520,2,419495,0,0,0,0.1,19.5,54.6,94.0
1036,MILLS EVANSTON LLC,1,21712,3,664219,0,0,0,0.2,30.6,85.7,79.0
1037,LAKE CITY ASSOCIATES L L C,1,21303,3,616773,0,0,0,0.2,29.0,81.1,75.0
