Owner,BuildingsOwned,TotalGHGE,TotalGHGE_metric_tons,AverageEnergyStarScore,TotalNaturalGas_kBtu,TotalElectricity_kBtu,TotalSteamUse_kBtu
BROWN THEODORE F,1,0.0,0.0,,0,0,0
NELSON APARTMENTS LLC,1,9.4,9.4,94.0,0,1774864,0
BROADVIEW 125 LLC,1,3.0,3.0,95.0,0,572285,0
NORTHPARK VILLAGE L.L.C,1,6.0,6.0,93.0,0,1133601,0
ALKI PARK APTS 2012 LLC +4128 12TH AVE NE 2016 LLC,1,3.3,3.3,,0,615997,0
GREENWOOD NORTH ADARTMENTS LLC +GREENWOOD NORTH APARTMENTS LLC,1,4.5,4.5,59.0,0,843533,0
MERIDIAN MANOR NORTH L L C,1,20.1,20.1,29.0,0,3776787,0
BROADVIEW DEVELOPMENT ASSOC II,1,454.7,454.7,85.0,8265612,2951928,0
SUMMER AURORA LLC,1,11.9,11.9,,0,2238638,0
11010 GREENWOOD SEATTLE LLC,1,31.6,31.6,73.0,587985,65292,0
NW FEDERAL CREDIT UNION,1,77.1,77.1,81.0,1290025,1617629,0
HR I ACQUISITION CORPORATION,1,14.8,14.8,50.0,0,2788071,0
HR ACQUISITION 1 CORPORATION,1,23.1,23.1,25.0,161,4344796,0
HR ACQUISITION I CORPORATION,1,344.3,344.3,46.0,6066602,4157590,0
SWEENEY ORCHARDS TWO LLC,1,7.0,7.0,94.0,81331,496760,0
MMJV LLC,1,12.7,12.7,90.0,0,2386128,0
BOLLER HURDITCH -RLT,1,4.9,4.9,84.0,0,921472,0
THORNTON CREEK APARTMENTS LLC,1,7.7,7.7,86.0,0,1450591,0
ROOSEVELT PARK APARTMENTS LLC,1,3.4,3.4,72.0,0,641691,0
ROOSEVELT SQUARE APARTMENTS LLC,1,7.2,7.2,92.0,0,1360948,0
BRADLEY HILL FAMILY LTD PTSHP,1,4.7,4.7,77.0,0,889186,0
PLAZA 15 LLC,1,11.9,11.9,81.0,0,2237661,0
MIKE AND LISA KELLEY LLC,1,2.8,2.8,75.0,0,534446,0
EDERLING L L C,1,2.2,2.2,94.0,0,419495,0
MILLS EVANSTON LLC,1,3.5,3.5,79.0,0,664219,0
LAKE CITY ASSOCIATES L L C,1,3.3,3.3,75.0,0,616773,0
PERFECTION PROPERTIES L L C+ALLSWELL L L C+HALF-TIME IV L L C,1,5.3,5.3,88.0,0,998002,0
HIDDEN CREEK ASSOCIATES,1,12.1,12.1,77.0,0,2271775,0
HUP LINK-14 LLC,1,2.9,2.9,83.0,0,539345,0
12040 28TH AVENUE LLC,1,4.0,4.0,76.0,0,750696,0
WILLOWS COURT LLC,1,14.0,14.0,89.0,0,2629363,0
NORTHBROOK PLACE LTD PARTNSHIP,1,11.6,11.6,44.0,0,2178147,0
HARBOR SQUARE APARTMENTS LLC,1,21.3,21.3,95.0,364008,377484,0
PRE LAKE CITY 26 LLC,1,3.4,3.4,75.0,0,645834,0
WANG LISA TS,1,6.2,6.2,67.0,0,1158561,0
CRE NORTH SEATTLE PARTNERS LLC,1,8.4,8.4,79.0,0,1571274,0
YOSHIKAWA REVERSE L L C,1,5.2,5.2,59.0,0,981423,0
SEATTLE CITY OF HOUSING AUTHORITY,1,3.6,3.6,77.0,0,670584,0
AAC/FSC CLOCKTOWER INVESTORS LLC,1,19.9,19.9,55.0,0,3743496,0
INVESTMENTS LLC,1,10.7,10.7,35.0,0,2017322,0
ACME WMR PARK 3025 LLC,1,23.2,23.2,95.0,258940,1775338,0
K GROUP VILLAGER LLC,1,3.8,3.8,82.0,0,723659,0
PILAT LLC,1,3.8,3.8,78.0,0,709350,0
MCGUIRE COURT ASSOCIATES,1,7.8,7.8,55.0,0,1474111,0
MGRE 10522 LCW LLC,1,5.3,5.3,,0,989506,0
PINEHURST LLC,1,6.3,6.3,87.0,0,1186083,0
KISH LLC,1,3.7,3.7,79.0,0,689285,0
DPE INVESTMENTS LLC,1,3.2,3.2,80.0,0,607841,0
HENRY PROSPEROUS PROPERTY LLC,1,4.8,4.8,94.0,0,894739,0
HOUSING AUTHRITY OF THE SEATTLE CITY GOVT,1,142.8,142.8,,2475605,2137476,0
ACTIVSPACE AT LUNA PARK LLC,1,5.2,5.2,,0,981610,0
TRINITY WEST SEATTLE,1,12.5,12.5,72.0,199110,362727,0
SNR 24 BRIDGE PARK OWNER LLC,1,95.5,95.5,99.0,1471853,3261331,0
WCSD 9601 35TH AVE SW LLC,1,0.0,0.0,,0,0,0
SALTY'S PROPERTIES II L L C,1,226.9,226.9,,4049225,2235952,0
LAKE CITY 5 LLC,1,28.2,28.2,,399207,1314132,0
PIERRE FAMILY LIMITED PARTNERSHIP,1,104.8,104.8,,1857804,1148363,0
26TH AVENUE BUILDING LLC,1,0.0,0.0,,0,0,0
DB FIVE SEATTLE GROCERY LLC,1,325.3,325.3,82.0,5551192,5724312,0
QUINTON PROPERTIES LLC,1,219.2,219.2,81.0,3617811,5088786,0
FRED MEYER STORES INC,1,423.0,423.0,85.0,7096095,8681336,0
NORTHGATE STORAGE LLC,1,0.0,0.0,,0,0,0
NE 130TH ST LLC,1,34.7,34.7,,628733,241886,0
SCHARMACH SEATTLE LLC,1,32.1,32.1,,484275,1198696,0
13355 LAKE CITY WAY NE ASSOCIATES,1,80.0,80.0,,1295844,2107910,0
NORTHGATE 3 LLC,1,65.7,65.7,100.0,1047770,1887592,0
LAKE CITY PROJECT ASSOCIATES,1,72.4,72.4,87.0,1201941,1617991,0
ORIGIN APARTMENT INVESTORS LLC,1,87.4,87.4,99.0,1383402,2622636,0
VILLA APPIA LLC,1,10.9,10.9,99.0,60345,1440130,0
LIHI MEADOWBROOK ASSOCIATES LLC C/O LOW INCOME HOUSING INSTITUTE,1,9.2,9.2,,0,1721179,0
PROMENADE LAKE CITY LLC,1,10.6,10.6,83.0,0,1984202,0
LAKE CITY WAY 137 ASSOCIATES LLC,1,72.3,72.3,99.0,1083200,2772884,0
SOLARA SEATTLE APARTMENTS LLC,1,294.3,294.3,93.0,5051833,4888905,0
FSC LAKE CITY ASSOCIATES LLC,1,12.0,12.0,,0,2262281,0
FAIRFIELD LAKE CITY LP,1,112.5,112.5,97.0,1725996,3909306,0
ATHLON LLC,1,4.2,4.2,98.0,0,789720,0
VALOR APARTMENT ASSOCIATES,1,3.3,3.3,42.0,0,624662,0
SFB-B LIMITED PARTNERSHIP,1,2.4,2.4,82.0,0,442447,0
AMSTAR KOZ SLU LLC,1,2.9,2.9,100.0,0,554427,0
444 RAVENNA LLC,1,23.2,23.2,100.0,408358,287080,0
KEYSTONE PLACE APARTMENTS LLC,1,4.5,4.5,,0,850797,0
MIRA VALLEY ASSOCIATES LLC,1,7.2,7.2,83.0,0,1359472,0
PHINNEY FLATS LLC,1,19.0,19.0,100.0,311100,466461,0
36 FREMONT GREEN LLC,1,28.1,28.1,99.0,449892,796640,0
AURORA HOUSING DEVELOPMENT LLC,1,31.1,31.1,50.0,442988,1415077,0
HTS WALLY LLC,1,3.9,3.9,47.0,0,725437,0
NORTHPOINT COLLAGE LLC,1,5.3,5.3,55.0,0,992812,0
LICTON SPRINGS LLC,1,4.0,4.0,85.0,0,760354,0
GUINEVERE LLC,1,18.1,18.1,92.0,0,3400853,0
MILAN APARTMENTS LLC,1,4.2,4.2,99.0,0,789651,0
WALLINGFORD MIRABELLA L L C,1,7.4,7.4,76.0,0,1394866,0
FREMONT COURT INVESTMENTS LLC,1,4.6,4.6,,0,858919,0
JAMES B ROSE FAMILY LLC,1,2.7,2.7,92.0,0,512311,0
FOSMIRE DAVID+WATSON SHELLY,1,2.7,2.7,95.0,0,512098,0
IBARRIENTOS-DRUMMOND EDEN,1,3.6,3.6,70.0,0,669701,0
STONE WAY APARTMENTS L L C,1,70.4,70.4,83.0,1155948,1698421,0
OSWELL BAKERSFIELD RETAIL ASSOCIATES LLC +MERIDIAN GROUP ASSCIATES LLC +ET AL,1,89.7,89.7,34.0,1653580,345163,0
J B BERGEN LLC,1,2.8,2.8,80.0,0,526260,0
CRE QUEEN CITY LLC,1,18.7,18.7,95.0,321104,302524,0
WOODLAND PARK VIEW APTS LLC,1,3.9,3.9,64.0,0,732949,0
WOODLAND COURT LLC,1,4.5,4.5,93.0,26789,582399,0
GREENLAKE MANOR LLC,1,51.3,51.3,90.0,945937,198172,0
GRANVIEW HOLDINGS LLC,1,3.5,3.5,89.0,0,653368,0
SEDGES LLC,1,11.0,11.0,,103024,1036353,0
WEST LEE L L C,1,4.4,4.4,80.0,0,828677,0
TRINITY STONEHEDGE LLC,1,18.6,18.6,97.0,231293,1183879,0
SUNRAY APTS LLC,1,2.3,2.3,,0,430005,0
HAYES APARTMENTS LLC,1,81.6,81.6,97.0,1300074,2365329,0
MAUI GROUP LLC,1,6.3,6.3,65.0,0,1180411,0
GREENWOOD AVENUE INVESTORS LLC,1,50.7,50.7,41.0,730553,2245090,0
REEP-MF WALLINGFORD WA LLC,1,75.0,75.0,94.0,1252972,1582415,0
KG PORTOFINO LLC,1,4.0,4.0,98.0,0,755058,0
ST JAMES TOWER ASSOCIATES,1,30.8,30.8,95.0,333408,2462167,0
UNICO BOP WASHINGTON PARK LLC,1,16.7,16.7,88.0,246219,684160,0
WLAM PROPERTY ASSOCIATION,1,25.9,25.9,,399652,879761,0
UV 316 ALASKAN LLC,1,12.2,12.2,,226701,33790,0
REDCO OCCIDENTAL 547 OWNER LLC,1,0.0,0.0,,0,0,0
PANAMA INTERNATIONAL CORP,1,48.8,48.8,100.0,903212,155345,0
AMERICAN HOTEL BUILDING LLC,1,135.4,135.4,75.0,2409499,1402022,0
PIONEER SQUARE HOTEL CO,1,79.5,79.5,98.0,295218,744970,720779
1005 SPRING STREET LLC,1,69.6,69.6,93.0,1262324,488930,0
REYNOLDS HOTEL LLC,1,137.8,137.8,98.0,2509893,839425,0
HPT IHG-2 PROPERTIES TRUST,1,55.1,55.1,100.0,798875,2378165,0
THE SORRENTO HOTEL PARTNERSHIP,1,104.2,104.2,98.0,1773010,1889801,0
ARCTIC CLUB HOTEL LLC,1,131.4,131.4,96.0,106573,3488511,1290818
MADISON HOTEL LLC,1,366.4,366.4,91.0,5629402,12687952,0
EXECUTIVE HOTEL SEATTLE L L C,1,198.8,198.8,78.0,1572366,1145568,1315934
618 SECOND AVENUE LIMITED PS+GOLDEN RAINBOW FREEDOM FUND LIMITED PS ET AL,1,309.3,309.3,92.0,5351700,4721618,0
GREENLAKE SELF STORAGE LLC,1,43.0,43.0,,779734,303144,0
IRON MOUNTAIN RECORDS MGMT INC,1,1.7,1.7,,0,326824,0
DAMBROSIO ENTERPRISES LLC,1,244.7,244.7,57.0,4097520,5087712,0
DESC N96 SUPPORTIVE HOUSING LLP,1,61.8,61.8,84.0,994858,1679536,0
TAYLOR GREENLAKE LLC,1,6.9,6.9,91.0,58208,721069,0
WH GREENWOOD II LLC,1,37.0,37.0,86.0,534603,1624747,0
ROSCOMMON L.L.C,1,10.9,10.9,,0,2057535,0
HOWARD PARK LLC,1,27.3,27.3,96.0,455767,574887,0
NORTH 46TH PROPERTIES L.L.C,1,3.6,3.6,97.0,0,685431,0
UNIVERSITY HOUSE AT WALLINGFORD L L C,1,151.5,151.5,41.0,2358515,4930524,0
PICKERING PLACE L L C,1,4.7,4.7,98.0,0,886383,0
FREMONT DOCK CO,1,21.9,21.9,87.0,0,4121713,0
GREEN LAKE TYEE LLC,1,4.0,4.0,86.0,0,751500,0
SALVATION ARMY SEATTLE RESIDEN,1,32.4,32.4,69.0,507431,1032707,0
PIONEER BUILDING LEVEL OFFICE LLC,1,0.0,0.0,,0,0,0
FANEUIL HALL APTS L L C,1,28.1,28.1,,445902,831588,0
KIM ED,1,101.4,101.4,99.0,1653009,2558161,0
BROADWAY ESTATES LLC,1,36.7,36.7,97.0,514015,1759226,0
2203 EASTLAKE AVE EAST LLC,1,41.5,41.5,98.0,705817,754382,0
W R P ASSOCIATES HARVARD AVE LLC,1,46.4,46.4,100.0,799141,753371,0
SHELTON INVESTOR JV LLC,1,29.4,29.4,100.0,484515,681624,0
BENDER DEVELOPMENT LP+BENDER EQUITIES INC,1,50.5,50.5,91.0,749357,2013252,0
120 HARVARD AVENUE E LLC,1,6.9,6.9,79.0,5316,1241214,0
CAROLINE W LLC,1,15.7,15.7,89.0,223389,730588,0
ICP 422 SUMMIT LLC,1,22.4,22.4,96.0,352241,698280,0
B & O DEVELOPMENT L L C,1,56.4,56.4,15.0,727208,3347761,0
500 BELMONT AVENUE E LLC,1,7.2,7.2,98.0,0,1347947,0
ICP 418 BELLEVUE LLC,1,20.6,20.6,98.0,313619,740580,0
ESSEX BROADWAY LLC,1,115.3,115.3,77.0,1471721,6989441,0
BILTMORE ASSOCIATES L L C,1,408.0,408.0,45.0,7565581,1170891,0
NORTHBRIDGE APARTMENTS LLC,1,6.0,6.0,49.0,0,1122990,0
TOCK BELMONT APARTMENTS LLC,1,4.3,4.3,100.0,0,810940,0
WOODCREEK LANE APTS LLC,1,17.8,17.8,97.0,266096,684453,0
BROADWAY INVESTMENT LTD,1,86.4,86.4,91.0,1577069,494502,0
MAVIS GROUP LLC,1,5.1,5.1,91.0,0,965448,0
CAMERON PARTNERS LLC,1,106.2,106.2,91.0,1949603,503548,0
CAMERON MERCER LLC,1,6.1,6.1,76.0,0,1152213,0
RL LAKEVIEW PLACE LLC,1,1.1,1.1,100.0,0,199817,0
HILLREE INVESTORS 2010 LLC,1,4.6,4.6,80.0,0,872554,0
MILLER ASHLEY,1,157.7,157.7,94.0,2748831,2197601,0
ERAWAN LLC,1,5.0,5.0,91.0,0,946893,0
RAMAYANA LLC,1,5.2,5.2,79.0,0,969526,0
EQR-HEIGHTS ON CAPITOL HILL LLC,1,20.5,20.5,83.0,114490,2712328,0
RGD MARK SPENCER 2014 LLC+MARK SPENCER PARTNERS LLC,1,22.9,22.9,83.0,337324,945364,0
LAKE UNION CENTER PHASE ONE LT,1,20.9,20.9,83.0,0,3926475,0
LIMPOPO PROPERTIES LLC,1,23.1,23.1,33.0,0,4346414,0
KR LAKEVIEW LLC,1,17.4,17.4,93.0,0,3264592,0
CKS 2155 LLC,1,31.9,31.9,13.0,62910,5372112,0
TRIMARK I LLC,1,2.8,2.8,88.0,0,528204,0
TRIAD INVESTMENTS CO INC,1,60.8,60.8,16.0,948401,1968590,0
PHINNEY NEIGHBORHOOD ASSOCIATION,1,60.2,60.2,,1120181,136975,0
4135 AC LLC +ADLER DONALD H,1,22.7,22.7,80.0,417475,104911,0
MARINER SQUARE L L C,1,36.1,36.1,,335264,3433837,0
M&G INVESTMENT & FINANCING CO,1,9.6,9.6,,0,1809840,0
SATURN BUILDING LLC,1,14.3,14.3,86.0,128893,1406681,0
BLUEPRINT 3414 LLC,1,62.3,62.3,,1002983,1698685,0
SEATTLE CITY OF/DEPT OF TRANSPORTATION,1,60.0,60.0,74.0,925601,2036883,0
SEATTLE INVESTMENT PRTNRS 1998 LLC,1,350.6,350.6,1.0,5836792,7640669,0
SWL LLC,1,79.7,79.7,,1356358,1436065,0
GREENWOOD 85TH STREET LLC,1,10.8,10.8,,103718,998492,0
FREMONT BUILDING LLC,1,6.0,6.0,71.0,0,1132371,0
DUBLINER BUILDING LLC,1,43.2,43.2,,806550,77465,0
SCHOOL BISHOP BLANCHET HIGH,1,255.4,255.4,90.0,4602005,2062362,0
9620 STONE AVENUE NORTH LLC,1,20.8,20.8,82.0,346808,449376,0
4010 ASSOCIATES,1,57.4,57.4,13.0,967619,1128905,0
9 TO 5 LLC,1,2.9,2.9,95.0,0,551069,0
NORTHLAKE OWNER LLC,1,14.1,14.1,57.0,0,2652492,0
RPT WALLINGFORD PLAZA LLC,1,20.4,20.4,65.0,235306,1487662,0
SEVENTEEN METERS LLC,1,16.1,16.1,62.0,47700,2551651,0
TRUE FOUNDRY LLC,1,8.8,8.8,,144832,200363,0
PECK BUILDING LLC THE,1,12.0,12.0,83.0,134314,922465,0
AD 936 N 34TH ST LLC,1,23.8,23.8,73.0,398870,497870,0
FREMONT SPACE L L C,1,11.2,11.2,,134128,772575,0
4000A LLC,1,2.1,2.1,97.0,0,390514,0
UPG STONE 34 PROPERTY OWNER LLC,1,145.4,145.4,97.0,2382058,3547989,0
GO-BRICKMAN BRODERICK OWNER LLC,1,48.4,48.4,93.0,0,2408968,428310
710 SECOND AVE (WA) OWNER LLC,1,291.9,291.9,84.0,0,10237808,2860589
PL FIRTH LLC,1,5.2,5.2,98.0,0,977461,0
CYPRESS-OT8 LLC+DAVIS-OTB LLC+CROSS CREEK-OTB LLC,1,275.5,275.5,50.0,4034705,11508400,0
SAN MARCO LLC,1,19.5,19.5,88.0,325236,422798,0
HUDSON 1000 OLIVE WAY LLC,1,102.6,102.6,,1804429,1268081,0
IRP PERRY APARTMENTS LLC,1,165.7,165.7,96.0,2708180,4109150,0
VBGO DANFORTH LLC,1,203.9,203.9,,3277350,5620096,0
888 WESTERN AVENUE LLC,1,133.8,133.8,66.0,1836959,6817548,0
COPPINS WELL OWNER LLC,1,200.7,200.7,89.0,3214420,5636389,0
223 YESLER LLLP,1,139.9,139.9,93.0,2258278,3756776,0
PIONEER PRESERVATION ASSOCIATES LP,1,114.9,114.9,65.0,1886138,2767404,0
OPUS NORTHWEST LLC,1,243.5,243.5,,4511825,724150,0
HILLTOP HOUSE,1,317.1,317.1,,250729,1985182,3532062
FH LLC,1,92.6,92.6,55.0,0,17419379,0
1200 MADISON ASSOCIATES L L C,1,123.5,123.5,97.0,2223890,1007461,0
SAHNEY VIKRAM N,1,368.4,368.4,24.0,6230499,7059704,0
CRE LOWMAN PARTNERS LLC,1,103.5,103.5,72.0,0,1797616,1132099
LI-HI SEATTLE,1,0.0,0.0,,0,0,0
255 SOUTH KING STREET LP,1,458.0,458.0,89.0,6471380,21495846,0
SOO YUEN INC,1,15.1,15.1,,240729,437018,0
CATHAY INVESTMENT LLC,1,15.8,15.8,,206107,909423,0
UNITED STATES OF AMERICA,1,22.4,22.4,,357174,640575,0
CHINN INVESTMENTS LLC,1,101.5,101.5,,1693634,2181822,0
GOOD ARTS LLC,1,22.2,22.2,,352514,663297,0
U.S. RUBBER BUILDING LLC,1,32.1,32.1,,544968,590986,0
PIERS 55 & 56 LLC,1,200.2,200.2,,3474860,2947847,0
HART FIRST HILL LLC,1,1439.7,1439.7,63.0,0,11707490,16594533
BTI SEVENTH AND MADISON LP,1,99.9,99.9,60.0,453720,14259192,0
HCP 1101 MADISON MOB LLC,1,129.5,129.5,4.0,0,24359005,0
PUGET SOUND BLOOD CENTER & PROGRAM,1,447.3,447.3,45.0,0,8960096,4814700
CORPORATION CATHOLIC ARCHBISHOP SEATTLE,1,0.0,0.0,,0,0,0
PAUL REVERE APARTMENTS LLC,1,5.9,5.9,88.0,0,1113361,0
JOHN ALDEN ASSOCIATES LLC,1,133.1,133.1,87.0,2448081,573883,0
ERP OPERATING LIMITED PARTNERSHIP,1,82.2,82.2,66.0,1324833,2235695,0
QUINTET INVESTMENTS INC,1,94.5,94.5,91.0,1727498,518088,0
WESTLAKE II HOUSING LLC,1,7.5,7.5,38.0,0,1407148,0
ZINDORF 7 TH AVENUE LLC,1,5.7,5.7,97.0,0,1078230,0
LANDES 84 LLC,1,71.9,71.9,96.0,1196216,1571325,0
HOUSING AUTHORITY OF CITY OF S,1,10.0,10.0,82.0,0,1871735,0
PACIFIC SUN NORTHWEST INC,1,6.4,6.4,,0,1206966,0
S/I SEATTLE INVESTMENTS IV LLC,1,67.5,67.5,98.0,1222277,480752,0
RISER GYNE+RISER FAMILY TRUST,1,279.1,279.1,,5049295,2046353,0
CORONA BUILDING LLC,1,20.3,20.3,,316797,661288,0
SUSTAINABLE URBAN DEVELOPMENT #1 LLC,1,97.4,97.4,,1764636,695912,0
AUDITORIUM APARTMENTS LLC,1,30.5,30.5,89.0,492568,823712,0
GIN HOLDINGS LLC,1,17.5,17.5,88.0,253515,750985,0
FRANK W S MAR INVESTMENTS LLC,1,215.7,215.7,,3903024,1580023,0
GERALD AND ALYCE ARAI FAMILY LP,1,17.4,17.4,,289609,374438,0
YESSIX LLC,1,4.3,4.3,86.0,0,815014,0
CRE 315 MAYNARD LLC,1,3.8,3.8,,0,705349,0
CAI SUNLIGHT PROPERTIES LLC,1,2.8,2.8,,0,528058,0
CHOW FAMILY CO L L C,1,6.2,6.2,,0,1156655,0
GOVERNOR BUILDING LLC,1,58.4,58.4,91.0,1078133,222501,0
STATE HOTEL LLC,1,2.2,2.2,100.0,0,419055,0
GEE HOW OAK TIN FOUNDATION,1,3.1,3.1,,0,576853,0
MONTICELLO APARTMENTS II LLC,1,9.0,9.0,90.0,0,1685374,0
423 TERRY PARTNERS LLC,1,4.7,4.7,,0,885130,0
STARLIGHT APARTMENTS LLC,1,5.1,5.1,72.0,0,965140,0
WESTMINSTER ASSOCIATES LLC,1,4.1,4.1,100.0,47056,309188,0
VBC MADISON LP,1,41.9,41.9,100.0,724315,642543,0
TERRA VARIES INVESTMENT LLC +ENVOY FIRST HILL LLC,1,61.0,61.0,96.0,1126351,216955,0
CLARWOOD ASSOCIATES,1,49.6,49.6,94.0,900943,334878,0
EAST-WEST INVESTMENT CO INC,1,78.4,78.4,65.0,1323347,1534731,0
CHIN LUND+JERRILYN,1,17.3,17.3,,289936,352611,0
BPP EXCHANGE BUILDING PROPERY OWNER LLC,1,59.4,59.4,85.0,0,11164405,0
NEUBERT FAMILY LIMITED PARTNERSHIP,1,14.9,14.9,81.0,0,2809987,0
GC COLUMBIA LLC,1,485.0,485.0,86.0,1675277,74470892,0
BRICKMAN PACIFIC LLC,1,26.0,26.0,95.0,0,4880856,0
SEIU LOCAL 775,1,57.8,57.8,74.0,878506,2098037,0
BPP 800 FIFTH PROPERTY OWNER LLC,1,191.2,191.2,85.0,0,35965073,0
TEMASEK L L C,1,139.9,139.9,85.0,0,3664744,1450538
SEATTLE DOWNTOWN HOTEL & RESIDENCES LLC,1,8.1,8.1,88.0,0,1523111,0
EXPEDITORS INTERNATIONAL OF WA INC,1,65.8,65.8,74.0,0,12375846,0
POLSON HOLDINGS LLC,1,63.3,63.3,96.0,925944,2655020,0
BCSP MARITIME BUILDING,1,24.5,24.5,99.0,6363,4550591,0
HISTORIC SEATTLE PRESERVATION & DEVELOPMENT AUTHORITY,1,14.5,14.5,51.0,0,2730683,0
UNICO BOP COLMAN BUILDING LLC,1,234.3,234.3,90.0,864590,4723348,1966342
505 UNION STATION LTD,1,118.4,118.4,62.0,14692,22126039,0
REEDO LP,1,86.5,86.5,52.0,1413630,2139994,0
IC U S A NO 8 PROPERTY PARTNERSHIP,1,98.7,98.7,64.0,502859,6235379,467901
SWEAZEY INVESTMENTS L L C,1,133.3,133.3,,1881380,6274265,0
BURKE-STATE BLDG LLC,1,94.3,94.3,89.0,582207,4508003,474403
TATNUCK VENTURES LLC,1,33.6,33.6,,297183,3341567,0
GLOBE PARTNERS LLC,1,84.2,84.2,75.0,329963,1126460,730508
ONE HUNDRED KING L L C,1,14.0,14.0,80.0,0,2631397,0
GREF 111 SOUTH JACKSON LP,1,10.8,10.8,89.0,0,2029136,0
WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC +UNICO PROPERTIES LLC,1,412.7,412.7,74.0,5324090,9279876,971312
COLLINS BUILDING LLC,1,20.7,20.7,,149611,2401243,0
GO-BRICKMAN CENTRAL OWNER LLC,1,165.4,165.4,88.0,0,5762998,1622892
VBGO 901 FIFTH SEA LLC,1,291.8,291.8,84.0,0,35057891,1269177
T C 4 & MADISON LLC,1,192.0,192.0,86.0,0,36103771,0
SAFECO PLAZA LLC,1,428.4,428.4,80.0,4414357,36476907,0
BPP 999 THIRD AVENUE OWNER LLC,1,175.4,175.4,88.0,0,32985783,0
HINES NORTON SEATTLE LLC,1,410.6,410.6,81.0,6644731,10853357,0
MSI - 1ST & KING LLC,1,67.3,67.3,88.0,1010776,2568322,0
WASHINGTON SHOE BUILDING LLC,1,47.4,47.4,82.0,517170,3745438,0
300 FIFTH AVENUE LLC,1,53.3,53.3,91.0,0,10024401,0
HARTFORD BUILDING LLC,1,1.6,1.6,95.0,0,298805,0
HR FIRST HILL MEDICAL BUILDING SPE LLC,1,61.7,61.7,31.0,525078,6363957,0
BXP MADISON CENTRE I LLC (UND 70%)+BXP MADISON CENTRE II LLC (UND 30%(TNTS IN CMN),1,270.6,270.6,92.0,3084493,20080978,0
PRU 114 LLC,1,5.3,5.3,100.0,0,995635,0
FRONTAL EW OLYMPIC BLOCK LLC,1,22.2,22.2,67.0,0,4171252,0
TRPF MILLENNIUM TOWER LLC,1,143.3,143.3,75.0,1440357,12555273,0
CASA BALLENA LLC,1,20.8,20.8,60.0,270080,1204781,0
PONG RENE+DONG LOREN+DONG,1,25.6,25.6,,440885,418211,0
PTL PROPERTY LIMITED PARTNERSHIP,1,4.8,4.8,67.0,0,904559,0
MOTTMAN BUILDING LLC,1,2.4,2.4,,0,446612,0
COLUMBIA TRUST COMPANY,1,39.4,39.4,64.0,673610,675149,0
BEEBE REALTY INC,1,78.0,78.0,78.0,265562,796573,718506
DUCAN BLDG INVESTMENTS L L C,1,19.0,19.0,,252982,1039838,0
164 SOUTH WASHINGTON STREET LLC,1,1.7,1.7,100.0,0,324830,0
DELMAR PLUS INC,1,3.8,3.8,49.0,0,709373,0
INTEGRUS SEATTLE LLC,1,5.0,5.0,83.0,0,936606,0
BAILEY WILLIAM F,1,16.6,16.6,96.0,258379,546829,0
OTT JOHN N $T,1,66.0,66.0,,355052,265635,550509
SCIENTIFIC BUILDING LLC,1,35.5,35.5,89.0,57218,307947,371858
NEW ENGLAND BUILDING LLC,1,26.2,26.2,,417742,761756,0
COMPASS CENTER HOUSING DEVELOPMENT,1,267.3,267.3,32.0,4840727,1911882,0
SCHWABACHER BUILDING LLC,1,17.5,17.5,,285898,437960,0
MSI MAYNARD LLC,1,8.9,8.9,20.0,0,1672113,0
8 S WELLER LLC,1,1.4,1.4,,0,258425,0
CATHOLIC ARCHBISHOP OF SEATTLE CORPORATION OF THE,1,7.6,7.6,87.0,0,1422796,0
KAR STANDARD LLC,1,13.1,13.1,82.0,170618,763211,0
HOWARD BUILDING SEATTLE LLC,1,2.3,2.3,92.0,0,437558,0
616 1ST AVENUE LLC,1,5.3,5.3,80.0,9465,909639,0
EAST APARTMENTS LLC,1,18.4,18.4,87.0,64021,2829350,0
MABEL H SMITH FAMILY LLC,1,8.6,8.6,76.0,0,1620332,0
SRGMF III EASTLAKE AVENUE SEATTLE LLC,1,92.0,92.0,99.0,1481740,2506795,0
WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC,1,29.1,29.1,97.0,0,5479420,0
4&U COMMERCIAL LLC,1,65.2,65.2,17.0,0,1476698,691464
4TH AVENUE BLDG LLC,1,18.2,18.2,,303846,379934,0
ARZCO 1 INVESTMENT CORP,1,7.8,7.8,,0,1459310,0
800 STEWART LLC,1,103.4,103.4,55.0,1787345,1602285,0
MI HQ II LLC,1,51.7,51.7,,773936,1997012,0
VIRGINIA STREET JOINT VENTURE LLC,1,28.1,28.1,94.0,178163,3512122,0
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,1,95.2,95.2,58.0,0,17908319,0
DP BUNKER HILL LLC,1,813.0,813.0,71.0,65147,6714454,9322924
1415 WESTERN LLC,1,8.2,8.2,77.0,4796,1489671,0
LBR RV-COMPANY XXVIII LP,1,105.4,105.4,,0,3631040,1037358
PPF OFF 720 OLIVE WAY LLC,1,80.6,80.6,82.0,0,15153995,0
TILT49 OFFICE DEVELOPERS LLC,1,67.5,67.5,,0,3298092,601798
SFERS REAL ESTATE CORP FF,1,72.2,72.2,84.0,0,13577327,0
WASHINGTON SECURITITES,1,339.6,339.6,,0,9145248,3505827
