f,Owning Entity Best Guess (lookup into OwningEntities tab),HQ City,"Assets, $B, Best Guess",Owning Entity Category,Public/Private/Nonprofit/Condo status,"Company Info -- business model, how assets found, etc, incl links to evidence",Sustainability claim (any we happened to find while researching ownership),How Sleuthed. NOTE sheets bug broke hyperlinks. See tab AllSleuthData for links to supporting info,Who sleuthed owner,Sleuth pass,BEPS LegislationPropertyType,PropertyGFABuilding_s_,BuildingName,GHGEmissionsIntensityKgSqFt,TotalGHGEmissions__metric_tons_,June BEPS Target for 2031-2035,,Qualifies for Alt GHGIT,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
500 WALL ST,Mill Creek Residential,"Dallas, TX",6.4,Real Estate Investment,Private Ownership,"""We specialize in the investment, development, construction, acquisition, and operation of high-quality rental communities in the nation’s best markets.""","Our mission to create meaningful relationships and extraordinary places allows us to be the best possible neighbor in the communities we serve, and that process begins long before we break ground on a community. It starts in the design process, which incorporates sustainable building practices to protect the environment and leave a minimal footprint.","<https://millcreekplaces.com/community/skye-at-belltown/> First paragraph ""Skye is Mill Creek's first Seattle acquisition"". And article about sale here.",Neal,3,Multifamily Housing,326619,SKYE AT BELLTOWN,2.1,678,0.89,0,FALSE,19925,697000025,2020,Multifamily HR (10+),WASHINGTON STATE -DOT,7,DOWNTOWN,371,1949,SEATTLE,WA,98121,47.61779,-122.34524,,,Multifamily HR (10+),70,,57.9,60.3,19686318,18924420,97.5,100.1,12086119,120861,6838300,2004191,0,,393841,67222,1,18,Multifamily Housing,302922,Retail Store,23697,Parking,0,,No Issue,Compliant,,,Multifamily Housing
500 4TH AVE,King County,Seattle,N/A,"Government (Seattle, UW, etc)",Government,,,Owned and operated by the county,Alex,3,Office,224857,ADMINISTRATION BUILDING - KING COUNTY,2.1,482,0.81,0,FALSE,779,942000920,2020,NonResidential,,1,DOWNTOWN,NOT_FOUND,1971,SEATTLE,WA,98104,47.6029,-122.32927,,,Office,65,,73,74.5,15275385,14964411,164,165.9,0,0,9783644,2867422,5180766,,224857,0,1,9,Office,204993,,,,,,No Issue,Compliant,,,Office
1301 3RD AVE,Seattle Symphony,Seattle,N/A,Nonprofit,Nonprofit/Religious Ownership,Nonprofit arts org whose wealthy donors can afford a heat pump,,,Alice,2,Mixed Use Property,174000,BENAROYA HALL,2.1,358,#N/A,#N/A,#N/A,145,1974700025,2020,Nonresidential COS,1918 EIGHTH LLC,1,DOWNTOWN,NOT_FOUND,1998,SEATTLE,WA,98101,47.60804,-122.3367,,,Mixed Use Property,,,60.3,61.1,10529439,10396470,132.2,133.1,137701,1377,6448967,1890084,3809802,,174000,0,1,6,Performing Arts,163031,Parking,153719,Social/Meeting Hall,9380,,No Issue,Compliant,,,Mixed Use Property
1000 LENORA ST,Cornish College of the Arts,Seattle,N/A,Nonprofit,Nonprofit/Religious Ownership,"""The mission of Cornish College of the Arts is to provide students aspiring to become practicing artists with an educational program of the highest possible quality, in an environment that nurtures creativity and intellectual curiosity, while preparing them to contribute to society as artists, citizens, and innovators.""",,Same address and name,Alex,1,College/University,126593,CORNISH (Main Campus Center),2.1,263,2.69,0,FALSE,30,660001420,2020,NonResidential,CORNISH COLLEGE OF THE ARTS,7,DOWNTOWN,NOT_FOUND,1928,SEATTLE,WA,98121,47.61816,-122.33629,,,College/University,,,71.7,74.5,9309587,8967604,137.8,140.6,4507560,45076,4460044,1307164,0,,126593,0,1,7,College/University,125000,,,,,,No Issue,Compliant,,,College/University
2024 3RD AVE,YWCA Seattle | King | Snohomish,Seattle,N/A,Nonprofit,Nonprofit/Religious Ownership,,,"Searching addr+owner found about for this location open since 2003, and no indication of other owner",Alice,3,Multifamily Housing,116947,2024 THIRD AVE/YWCA,2.1,243,0.89,0,FALSE,265,8729690000,2020,Multifamily MR (5-9),,7,DOWNTOWN,NOT_FOUND,2003,SEATTLE,WA,98121,47.61316,-122.34153,,,Multifamily MR (5-9),,,70.8,71.8,9022793,8898784,141.2,142.3,4095227,40952,4803557,1407842,0,,116947,0,1,7,Multifamily Housing,81740,Office,27403,Other - Lodging/Residential,12851,,No Issue,Compliant,,,Multifamily Housing
901 PINE ST,Skanska Commercial Development,"New York, NY",12,Real Estate Development and Management,Private Ownership,"Skanska develops and builds commercial projects ensuring they are built promptly and decisively, implementing Skanska’s sustainable-design expertise. We offer the experience and stability of a self-financed, global company with localized teams attuned to the prime urban markets we serve. ","..."" implementing Skanska’s sustainable-design expertise."", and likely more if we googled it","Principal is a Skanska leader; all info about SCD 2U leads to Skanska including the address, and SCD is likely ""Skanska commercial development""",Alex,1,Entertainment/Public Assembly,102761,PARAMOUNT THEATER,2.1,215,1.18,0,FALSE,11,660000955,2020,NonResidential,SCD 2U LLC,1,DOWNTOWN,NOT_FOUND,1926,SEATTLE,WA,98101,47.61327,-122.33136,,,Other - Entertainment/Public Assembly,,,50.5,52.8,5425254,5191280,100.8,103.4,423281,4233,2613508,765975,2154491,,102761,0,1,8,Other - Entertainment/Public Assembly,102761,,,,,,No Issue,Compliant,,,Entertainment/Public Assembly
2200 6TH AVE,Clise Properties,Seattle,0.4,Seattle Real Estate - Large,Private Ownership,"""For more than 132 years, Clise Properties and the Clise family have led development in Seattle."" Among other things, Clise develops data centers. See AUMCalculations tab for back of the envelope very conservative AUM calculation",,Listed in their portfolio of buildings,Alex,3,Office,190642,DENNY BUILDING,1.9,368,0.81,0,FALSE,335,660000080,2020,NonResidential,,1,DOWNTOWN,NOT_FOUND,1968,SEATTLE,WA,98121,47.61641,-122.34112,,,Office,88,,49.4,50.9,9692543,9411605,104.1,105.5,0,0,5321615,1559676,4089989,,190642,0,1,12,Office,190437,Parking,48500,,,,No Issue,Compliant,,,Office
612 2ND AVE,American Life Inc.,Seattle,1.5,Real Estate Investment,Private Ownership,"The EB-5 visa program provides a method for eligible immigrant investors to become lawful permanent residents — informally known as “green card” holders — by investing at least $1,050,000 to finance a business in the United States that will employ a minimum of 10 American workers. Most foreign nationals who use the EB-5 program invest in a “Targeted Employment Area” (TEA) — a rural area or area with high unemployment – which lowers the investment threshold to $800,000.",,"From TaxParcelOwner, ooked up Golden Rainbow Freedom in WA C&C. Found numerous LLCs with agent Henry Lieberman, who is the CEO of American Life. Addr+American Life finds listing for Courtyard by Marriot Pioneer Square, and ""courtyard by marriott pioneer square building owner"" finds wikipedia mention of the sale to Americal life in 2007.",Alice,3,Hotel,163984,COURTYARD BY MARRIOTT - PIONEER SQ,1.9,309,2.06,0,FALSE,12,939000080,2020,NonResidential,618 SECOND AVENUE LIMITED PS+GOLDEN RAINBOW FREEDOM FUND LIMITED PS ET AL,7,DOWNTOWN,26,1904,SEATTLE,WA,98104,47.60294,-122.33263,,,Hotel,92,,61.4,62.8,10302436,10073317,114.9,116.4,5351700,53517,4721618,1383827,0,,163984,0,1,15,Hotel,163984,,,,,,No Issue,Compliant,,,Hotel
2515 4TH AVE,Equity Residential,"Chicago, IL",20.2,Real Estate Investment,Private Ownership,Wikipedia: Equity Residential is a publicly traded real estate investment trust that invests in apartments. Total assets        Increase $21.169 billion (2021),,"Found apartment website, leads back to them as managers (and their website indicates they are a REIT who invest in, not just manage, apartment buildings). Also, parcel owner starts with their stock symbol.",Alex,3,Multifamily Housing,226500,CENTENNIAL TOWER APTS,1.8,417,0.89,0,FALSE,19884,656000450,2020,Multifamily HR (10+),EQR CENTENNIAL TOWER LLC,7,DOWNTOWN,221,1990,SEATTLE,WA,98121,47.61678,-122.34698,,,Multifamily HR (10+),48,,64.5,66.6,15076338,14600835,125.6,129.1,7107464,71075,7493370,2196181,0,,321050,94550,1,26,Multifamily Housing,226500,Parking,94550,Swimming Pool,0,,No Issue,Compliant,,,Multifamily Housing
1200 5TH AVE,University of Washington,Seattle,8,"Government (Seattle, UW, etc)",Government,"Note: For most UW-owned properties downtown, UW is noted as the Tax Parcel owner, so easy to id ownership. Some look like and are even claimed by Wikipedia to be owned by Unico, but in fact Unico ownly manages",,Identified from Tax Parcel Owner,Alice,3,Office,269900,IBM BUILDING,1.7,450,0.81,0,FALSE,386,2400002,2020,NonResidential,UNIVERSITY OF WASHINGTON BOARD OF REGENTS,1,DOWNTOWN,98,1964,SEATTLE,WA,98101,47.60842,-122.33305,,,Office,76,,62.1,62.8,16569808,16368784,145.5,146.4,0,0,11694794,3427548,4673989,,336330,66430,1,22,Office,256299,Parking,66430,Other - Restaurant/Bar,7438,,No Issue,Compliant,,,Office
2929 1ST AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,219874,CONCORD CONDOMINIUM,1.7,373,0.89,0,FALSE,20762,1734800000,2020,Multifamily HR (10+),,7,DOWNTOWN,NOT_FOUND,1999,SEATTLE,WA,98121,47.61733,-122.35376,,,Multifamily HR (10+),31,,60.4,62.3,12909554,12514150,114.9,116.9,6417712,64177,6096439,1786764,0,,219874,0,1,13,Multifamily Housing,207195,,,,,,No Issue,Compliant,,,Multifamily Housing
909 5TH AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,"Search for ""5TH AND MADISON building seattle"" finds 5th & Madison Condos at 909 5TH AVE",Alice,3,Multifamily Housing,170000,5TH AND MADISON-Residential Portion,1.7,282,0.89,0,FALSE,21777,2538840000,2020,Multifamily HR (10+),,7,DOWNTOWN,NOT_FOUND,2007,SEATTLE,WA,98104,47.60634,-122.33184,,,Multifamily HR (10+),27,,54.1,55.4,9421743,9200201,101.3,102.3,4877579,48776,4322622,1266888,0,,170000,0,1,42,Multifamily Housing,170000,,,,,,No Issue,Compliant,,,Multifamily Housing
1110 3RD AVE,Taib Family,Malaysia,20,Private ownership - out of state,Private Ownership,"Sarawak Governor Abdul Mahmud Taib made off with billions in proceeds from rainforest destrection, and laundered a lot of it in real estate elsewhere. Taib's Mahmud's daughter Jamilah and family members have been establishing a real estate empire across Candada, the US, and the UK. Family assets tagged here (with info on logging and corruption) at $20B. Some other articles we found are here, here, here, and many more can be find by searching for ""Taib"" plus terms like money laundering, rainforest, corruption, real estate, Satko","From Wikipedia: Taib Mahmud has been accused of being responsible for the environmental destruction that took place in Sarawak during his tenure as chief minister. This Swiss environmentalist, Bruno Manser, held Taib ""personally responsible"" for the destruction of Sarawak rainforests.[52]
","Found article on Wallyson's Inc which mentioned Taib family controls building owner shell company WALLYSONS INC through their US real estate arm, Satki, and governors for the shell company, Sean Murray and Michael Pilon, are the CEO and CFO of Taib's canadian real estate arm Satko.",Alex,2,Office,162993,ABRAHAM LINCOLN BUILDING,1.7,270,0.81,0,FALSE,352,942000140,2020,NonResidential,WALLYSONS INC,1,DOWNTOWN,NOT_FOUND,1972,SEATTLE,WA,98101,47.60671,-122.33456,,,Office,76,,57.8,58.6,10706266,10560183,137.7,138.7,0,0,7808239,2288464,2751945,,186768,23775,1,14,Office,182540,Parking,33671,Data Center,240,,No Issue,Compliant,,,Office
2000 1ST AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,146914,ONE PACIFIC TOWERS CONDOMINIUM,1.7,244,0.89,0,FALSE,25354,6391350000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,1994,SEATTLE,WA,98121,47.61146,-122.34264,,,Multifamily HR (10+),52,,51.9,52.5,9029491,8932523,110.6,111.2,2529137,25291,5428410,1590976,974976,,191427,44513,1,27,Multifamily Housing,162769,Parking,100193,Retail Store,9215,,No Issue,Compliant,,,Multifamily Housing
800 CONVENTION PL,Washington State Convention Center Public Facilities District,Seattle,N/A,"Government (Seattle, UW, etc)",Government,"""In 2010, the state Legislature enacted Substitute Senate Bill 6889, which authorized King County to create a public facilities district to acquire, own and operate a convention center transferred from a public nonprofit corporation. On July 30, 2010, the Washington State Convention Center Public Facilities District (the District) was officially formed by King County Ordinance 16883 following approval by the King County Council.""",,"Found on the wikipedia article, confirmed with district's website",Alex,1,Entertainment/Public Assembly,946212,WASHINGTON STATE CONVENTION CENTER,1.6,1471,1.18,0,FALSE,435,1978200105,2020,NonResidential,WASHINGTON STATE CONVENTION CENTER,1,DOWNTOWN,NOT_FOUND,1990,SEATTLE,WA,98101,47.61195,-122.33167,,,Convention Center,,,43.3,44,47202796,46462620,97,97.8,1251147,12511,30223520,8858007,14987953,,1632962,686750,1,6,Convention Center,1072000,Parking,686750,,,,No Issue,Compliant,,,Entertainment/Public Assembly
1815 TERRY AVE,Stonebridge Companies and Dimah Capital Investment Co,"Sharq, Kuwait",800,Real Estate Investment & Management,Private Ownership,"Stonebridge and Dimah Capital co-own Residence Inn by Marriott at 1815 TERRY AVE.  Per our usual practice, assets listed are those of the much larger Dimah.","Dimah Capital focuses on three main pillars to guide the company's sustainability efforts: CSR, ethical governance, and responsible investing, while firmly believing that they are critical to the company's long-term success. The company makes sure to prioritize these pillars in its operations and investments and strives to make a positive impact on the communities and environment where it operates.
","Residence in by Marriott, 18155 Terry, was built by Stonebridge, and still owned by them in 2018. Later: Dimah press release - ""Dimah Capital acquires Marriott’s Residence Inn for USD 118 million""...'Dimah Capital has collaborated with its strategic partner, Stonebridge Companies – a leading hotel developer and operator managing a large portfolio of luxury brands – to acquire and manage the property"". Title of this behind-paywall article indicates it's a partnership -- ""In $111.6MM Transaction, Stonebridge Adds Equity Partner in Seattle’s Residence Inn"".  It's unclear what the total value of the building is, but problably large enough to consider this co-ownership as opposed to a Dimah majority stake.",Alex,2,Hotel,186429,MARRIOTT RESIDENCE INN CONVENTION CENTER,1.6,306,2.06,0,FALSE,50333,660001195,2020,NonResidential,SEATTLE FUNDING CORP,1,DOWNTOWN,,2017,SEATTLE,SEATTLE,98101,47.61558,-122.33291,,,Hotel,96,,45.8,46.6,10743909,10554965,88.6,89.4,5231728,52317,5323235,1560151,0,,236367,49938,1,15,Hotel,230360,Parking,0,,,,No Issue,Compliant,,,Hotel
1821 BOREN AVE,Union Investment,"Frankfurt, Germany",56.8,Real Estate Investment,Private Ownership,Purchased Midtown 21 building in Seattle in 2017,,"Google Principals, plus this article on purchase by Union Investments",EM,1,Hotel,144614,HILTON GARDEN INN,1.6,224,2.06,0,FALSE,50035,3374400010,2020,NonResidential,1821 BOREN AVENUE LLC,1,DOWNTOWN,,2015,SEATTLE,SEATTLE,98101,47.61665,-122.33261,,,Hotel,98,,45.3,45.3,7164438,7164438,83.7,83.7,3896923,38969,3267514,957654,0,,144614,0,1,14,Hotel,158207,,,,,,No Issue,Compliant,,,Hotel
2716 ELLIOTT AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,"Search ""2716 ELLIOTT AVE owner"" finds 'Bellora Condos""",Alice,3,Multifamily Housing,105707,BELLORA,1.6,166,0.89,0,FALSE,19673,687800000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,2003,SEATTLE,WA,98121,47.61502,-122.35263,,,Multifamily HR (10+),56,,49.8,50.4,5324692,5266508,91.8,91.9,2882688,28827,2383820,698658,0,,105707,0,1,13,Multifamily Housing,100374,Office,5333,,,,No Issue,Compliant,,,Multifamily Housing
808 HOWELL ST,R.C. Hedreen Co and Hyatt,"Chicago, IL",56.8,Seattle Real Estate - Large,Private Ownership,"RC Hedreen Co. & Hyatt co-own the 3 Seattle Hyatts, so I'm using Hyatt's worth as assets -- between the 2 of them, they can afford a heat pump. Also, Hedreen has a history of bad faith with both the city of Seattle and Unite Here Local 8, in connection with these very buildings.",,"Building Name, principals, company address, Hyatt Regency Seattle Owner"", then figured out the business model of co-ownership",Alice,2,Hotel,1062251,HYATT REGENCY SEATTLE,1.5,1621,2.06,0,FALSE,50523,660000708,2020,NonResidential,HT-SEATTLE OWNER LLC,1,DOWNTOWN,,2018,SEATTLE,SEATTLE,98101,47.61456,-122.33399,,,Hotel,97,,51.9,52.8,58184440,57189584,101.5,102.5,27548291,275483,29641293,8687366,0,,1400666,338415,1,45,Hotel,1102237,Parking,231393,,,,No Issue,Compliant,,,Hotel
