,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions__metric_tons_,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,GHGEmissionsIntensityKgSqFt,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFABuilding_s_,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType,electric_co2_m3_kwh
2898,23499,7663700369,2020,Multifamily LR (1-4),3030 LAKE CITY (Building A),3030 LAKE CITY LLC A DELAWARE LLC,1,NORTH,28,1977,3030 NE 143RD ST,SEATTLE,WA,98125,47.73225,-122.29494,,,Multifamily LR (1-4),4.0,55,,32.4,33.2,788515,768331,89.0,91.4,0.1,0,0,745425,218472,0,0,27639,27639,0,1,3,Multifamily Housing,23726,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8308982386758945e-05
2900,23502,7663700410,2020,Multifamily LR (1-4),MIRRORWOOD APTS,YOSHIKAWA REVERSE L L C,5,NORTH,36,1986,14371 30TH AVE NE,SEATTLE,WA,98125,47.73351,-122.29679,,,Multifamily LR (1-4),5.2,59,,31.7,32.6,1009755,981423,88.8,91.4,0.2,0,0,981423,287639,0,0,30942,30942,0,1,3,Multifamily Housing,30942,,,,,,No Issue,Compliant,,,Multifamily Housing,1.80782160972608e-05
2901,23515,7683940000,2020,Multifamily LR (1-4),SEDONA COURT CONDOMINIUM,,5,NORTH,NOT_FOUND,2000,12034 15TH AVE NE,SEATTLE,WA,98125,47.71677,-122.31219,,,Multifamily LR (1-4),3.9,,,23.5,23.9,735918,724602,65.8,66.8,0.1,0,0,724602,212369,0,0,30833,30833,0,1,3,Multifamily Housing,30833,,,,,,No Issue,Compliant,,,Multifamily Housing,1.836426220399399e-05
2902,23543,8633100000,2020,Multifamily LR (1-4),THORNTON CREEK,,5,NORTH,NOT_FOUND,2002,12534 15TH AVE NE,SEATTLE,WA,98125,47.72048,-122.31233,,,Multifamily LR (1-4),4.1,78,,24.0,24.6,795099,778188,67.3,68.8,0.1,0,0,778188,228074,0,0,30870,30870,0,1,3,Multifamily Housing,32360,,,,,,No Issue,Compliant,,,Multifamily Housing,1.797662162280663e-05
2903,23605,7663700821,2020,Multifamily LR (1-4),HILLCOURT APTS,CRE NORTH SEATTLE PARTNERS LLC,5,NORTH,72,1985,3022 NE 140TH ST,SEATTLE,WA,98125,47.73052,-122.29555,,,Multifamily LR (1-4),8.4,79,,28.0,28.7,1607657,1571274,78.5,80.3,0.1,0,0,1571274,460514,0,0,56074,56074,0,1,4,Multifamily Housing,56074,Parking,0,,,,No Issue,Compliant,,,Multifamily Housing,1.8240487802759525e-05
2904,23609,7663700860,2020,Multifamily LR (1-4),DEL MAR APTS,WANG LISA TS,5,NORTH,43,1981,14033 32ND AVE NE,SEATTLE,WA,98125,47.73108,-122.29422,,,Multifamily LR (1-4),6.2,67,,26.9,27.6,1190797,1158560,75.2,77.3,0.1,0,0,1158561,339555,0,0,43132,43132,0,1,4,Multifamily Housing,43132,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8259192177997673e-05
2905,23611,7663700870,2020,Multifamily LR (1-4),PARKWAY 2 APARTMENTS,HAYRE PROPERTIES LLC,5,NORTH,30,1993,14023 32ND AVE NE,SEATTLE,WA,98125,47.73082,-122.29418,,,Multifamily LR (1-4),4.9,71,,29.3,29.9,936876,917949,81.9,83.6,0.2,0,0,917949,269036,0,0,31379,25550,5829,1,4,Multifamily Housing,31379,Parking,5829,,,,No Issue,Compliant,,,Multifamily Housing,1.8213175931845552e-05
2906,23612,7663700880,2020,Multifamily LR (1-4),HIDDEN STREAMS APARTMENT,PRE LAKE CITY 26 LLC,5,NORTH,26,1969,3032 NE 140TH ST,SEATTLE,WA,98125,47.73014,-122.29514,,,Multifamily LR (1-4),3.4,75,,26.9,27.8,667760,645834,75.2,77.7,0.1,0,0,645834,189283,0,0,24052,24052,0,1,4,Multifamily Housing,24052,Parking,1280,,,,No Issue,Compliant,,,Multifamily Housing,1.7962521726726646e-05
2907,24179,5101405948,2020,Multifamily LR (1-4),NORTHBROOK PLACE,NORTHBROOK PLACE LTD PARTNSHIP,5,NORTH,68,1991,10215 LAKE CITY WAY NE,SEATTLE,WA,98125,47.7026,-122.30211,,,Multifamily LR (1-4),11.6,44,,34.2,34.7,2209523,2178147,95.8,97.2,0.2,0,0,2178147,638378,0,0,63670,63670,0,1,4,Multifamily Housing,63670,,,,,,No Issue,Compliant,,,Multifamily Housing,1.817105226057289e-05
2908,24181,5101408810,2020,Multifamily LR (1-4),THORNTON CREEK APTS,THORNTON CREEK APARTMENTS LLC,1,NORTH,59,1989,512 NE 103RD ST,SEATTLE,WA,98125,47.7033,-122.32209,,,Multifamily LR (1-4),7.7,86,,29.6,30.4,1486891,1450590,83.0,85.0,0.2,0,0,1450591,425144,0,0,64195,48965,15230,1,4,Multifamily Housing,48965,Parking,15230,,,,No Issue,Compliant,,,Multifamily Housing,1.811151045292889e-05
2909,24255,7933200000,2020,Multifamily LR (1-4),SPRING CREEK CONDOMINIUM,,5,NORTH,NOT_FOUND,1980,12341 35TH AVE NE,SEATTLE,WA,98125,47.71854,-122.2917,,,Multifamily LR (1-4),3.0,81,,26.7,27.6,573605,555244,74.7,77.2,0.1,0,0,555244,162733,0,0,20808,20808,0,1,4,Multifamily Housing,20808,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8435105356627115e-05
2910,24393,3448000030,2020,Multifamily LR (1-4),THE WILLOWS COURT APTS,WILLOWS COURT LLC,5,NORTH,104,1987,12316 28TH AVE NE,SEATTLE,WA,98125,47.71812,-122.2974,,,Multifamily LR (1-4),14.0,89,,28.1,28.8,2692814,2629364,78.8,80.7,0.1,0,0,2629363,770622,0,0,134490,93472,41018,1,4,Multifamily Housing,93472,Parking,41018,,,,No Issue,Compliant,,,Multifamily Housing,1.81671429053414e-05
2911,24397,3448000500,2020,Multifamily LR (1-4),BALDWIN APTS,12040 28TH AVENUE LLC,5,NORTH,28,1976,12040 28TH AVE NE,SEATTLE,WA,98125,47.71728,-122.29775,,,Multifamily LR (1-4),4.0,76,,27.6,28.2,766020,750696,77.4,78.9,0.1,0,0,750696,220016,0,0,36172,36172,0,1,3,Multifamily Housing,27172,Parking,0,,,,No Issue,Compliant,,,Multifamily Housing,1.8180495963929897e-05
2912,24765,3226049298,2020,Multifamily LR (1-4),LA ROMARR APT'S,HUP LINK-14 LLC,1,NORTH,28,1967,10014 5TH AVE NE,SEATTLE,WA,98125,47.70198,-122.32285,,,Multifamily LR (1-4),2.9,83,,26.8,27.6,556478,539345,75.0,77.4,0.1,0,0,539345,158073,0,0,20132,20132,0,1,4,Multifamily Housing,20132,,,,,,No Issue,Compliant,,,Multifamily Housing,1.834595408450526e-05
2913,24772,3260500000,2020,Multifamily LR (1-4),HERITAGE PLACE CONDOMINIUM,,5,SHARED: NORTH &amp; NORTHWEST,NOT_FOUND,1980,12027 15TH AVE NE,SEATTLE,WA,98125,47.71642,-122.31292,,,Multifamily LR (1-4),3.5,94,,21.5,22.0,677470,663788,60.3,61.5,0.1,0,0,663789,194545,0,0,33034,33034,0,1,4,Multifamily Housing,30824,Parking,1114,,,,No Issue,Compliant,,,Multifamily Housing,1.7990696239944487e-05
2914,24775,3274900000,2020,Multifamily LR (1-4),HIDDEN CREEK VILLAGE CONDOMINIUM,HIDDEN CREEK ASSOCIATES,5,NORTH,100,1979,13751 32ND AVE NE,SEATTLE,WA,98125,47.72917,-122.2937,,,Multifamily LR (1-4),12.1,77,,25.8,26.2,2309282,2271776,72.2,73.4,0.1,0,0,2271775,665819,0,0,88096,88096,0,1,4,Multifamily Housing,88096,Swimming Pool,0,,,,No Issue,Compliant,,,Multifamily Housing,1.8173107105684876e-05
2915,25129,8944230000,2020,Multifamily LR (1-4),THE PARK AT NORTHGATE APARTMENTS,NOT FOUND,5,NORTH,,1967,10735 ROOSEVELT WAY NE,SEATTLE,WA,98125,47.70722,-122.3192,,,Multifamily LR (1-4),22.3,84,,28.7,29.2,4258962,4186588,80.3,81.7,0.1,0,0,4186589,1227019,0,0,151450,151450,0,6,3,Multifamily Housing,146000,Parking,0,Swimming Pool,0,,No Issue,Compliant,,,Multifamily Housing,1.8174127702994005e-05
2916,25130,8944240000,2020,Multifamily LR (1-4),NORTHGATE MANOR APARTMENTS,PERFECTION PROPERTIES L L C+ALLSWELL L L C+HALF-TIME IV L L C,5,NORTH,56,1978,818 NE 106TH ST,SEATTLE,WA,98125,47.70657,-122.31942,,,Multifamily LR (1-4),5.3,88,,26.4,26.8,1012169,998002,74.0,75.1,0.1,0,0,998002,292498,0,0,37760,37760,0,1,4,Multifamily Housing,37760,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8119782015603526e-05
2917,25266,8902500100,2020,Multifamily LR (1-4),TROWBRIDGE APTS,LAKE CITY ASSOCIATES L L C,5,NORTH,29,1986,11314 25TH AVE NE,SEATTLE,WA,98125,47.7113,-122.30127,,,Multifamily LR (1-4),3.3,75,,29.0,29.7,633659,616773,81.1,83.3,0.2,0,0,616773,180766,0,0,21303,21303,0,1,3,Multifamily Housing,21303,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8255645420045805e-05
2918,25295,3997700000,2020,Multifamily LR (1-4),LAKE CITY PLACE,,5,NORTH,34,1997,11038 LAKE CITY WAY NE,SEATTLE,WA,98125,47.7095,-122.30032,,,Multifamily LR (1-4),6.1,97,,25.3,25.7,1166059,1147599,70.7,71.9,0.2,0,0,1147599,336342,0,0,55977,39433,16544,1,4,Multifamily Housing,39433,Office,5995,Parking,2000,,No Issue,Compliant,,,Multifamily Housing,1.813630174049033e-05
2919,26241,6174300000,2020,Multifamily LR (1-4),NORTHGATE VILLA CONDOMINIUM,,5,NORTH,NOT_FOUND,1984,10501 8TH AVE NE,SEATTLE,WA,98125,47.70548,-122.32111,,,Multifamily LR (1-4),4.6,100,,6.7,6.8,881054,869484,18.9,19.1,0.0,0,0,869483,254831,0,0,140594,140594,0,1,4,Multifamily Housing,128878,Swimming Pool,0,,,,No Issue,Compliant,,,Multifamily Housing,1.8051179016681643e-05
2921,26325,4077800562,2020,Multifamily LR (1-4),COTTONWOOD APT,MILLS EVANSTON LLC,1,NORTH,27,1978,11002 35TH AVE NE,SEATTLE,WA,98125,47.70857,-122.29048,,,Multifamily LR (1-4),3.5,79,,30.6,31.3,678857,664219,85.7,87.5,0.2,0,0,664219,194672,0,0,21712,21712,0,1,3,Multifamily Housing,21712,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7978959480562177e-05
2922,27201,7458500000,2020,Multifamily LR (1-4),ROYAL OAK CONDOMINIUM,,5,NORTH,NOT_FOUND,1974,12300 28TH AVE NE,SEATTLE,WA,98125,47.7177,-122.29767,,,Multifamily LR (1-4),4.3,85,,26.4,27.2,840039,816092,73.9,76.0,0.1,0,0,816091,239183,0,0,35333,35333,0,1,3,Multifamily Housing,30933,Parking,4400,,,,No Issue,Compliant,,,Multifamily Housing,1.7977866319930764e-05
2923,27274,6701500000,2020,Multifamily LR (1-4),PEGASUS COURT CONDO,,1,SHARED: NORTH &amp; NORTHWEST,36,1999,12345 ROOSEVELT WAY NE,SEATTLE,WA,98125,47.71884,-122.31855,,,Multifamily LR (1-4),5.0,,,25.2,25.7,958552,941430,70.6,71.9,0.1,0,0,941430,275917,0,0,37317,37317,0,1,4,Multifamily Housing,37317,,,,,,No Issue,Compliant,,,Multifamily Housing,1.812139157790205e-05
2924,27294,6632300251,2020,Multifamily LR (1-4),APARTMENT & RETAIL,EDERLING L L C,5,NORTH,22,1976,1520 NE 143RD ST,SEATTLE,WA,98125,47.73233,-122.31197,,,Multifamily LR (1-4),2.2,94,,19.5,20.1,432049,419495,54.6,56.2,0.1,0,0,419495,122947,0,0,21520,21520,0,1,3,Multifamily Housing,21520,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7893889236825626e-05
2925,27295,6632300252,2020,Multifamily LR (1-4),22 UNIT APARTMENT,MIKE AND LISA KELLEY LLC,5,NORTH,23,1976,1526 NE 143RD ST,SEATTLE,WA,98125,47.73234,-122.3116,,,Multifamily LR (1-4),2.8,75,,24.8,25.5,550905,534446,69.3,71.5,0.1,0,0,534446,156637,0,0,21580,21580,0,1,4,Multifamily Housing,21580,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7875725403321054e-05
2926,27296,6632300360,2020,Multifamily LR (1-4),EXECUTIVE ESTATES - BLDG E,PLAZA 15 LLC,5,NORTH,99,1969,14040 15TH AVE NE,SEATTLE,WA,98125,47.73192,-122.31187,,,Multifamily LR (1-4),11.9,81,,23.0,23.5,2281794,2237661,64.5,65.8,0.1,0,0,2237661,655821,0,0,97254,97254,0,1,3,Multifamily Housing,97141,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8145195106591585e-05
2927,27297,6632300420,2020,Multifamily LR (1-4),JACKSON PARK APTS 36-UNITS,BRADLEY HILL FAMILY LTD PTSHP,5,NORTH,36,1975,13716 15TH AVE NE,SEATTLE,WA,98125,47.72914,-122.31194,,,Multifamily LR (1-4),4.7,77,,30.8,31.4,908093,889186,86.2,88.0,0.2,0,0,889186,260606,0,0,28899,28899,0,1,3,Multifamily Housing,28899,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8034887915090215e-05
2928,27298,6632300580,2020,Multifamily LR (1-4),EXECUTIVE ESTATES (BLDGS J & K),MULLALLY & SON INVESTORS LLC,5,SHARED: NORTH &amp; NORTHWEST,53,1975,14017 15TH AVE NE,SEATTLE,WA,98125,47.73105,-122.31429,,,Multifamily LR (1-4),6.5,88,,21.1,21.6,1242099,1215713,59.2,60.5,0.1,0,0,1215713,356305,0,0,57496,57496,0,1,3,Multifamily Housing,57496,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8242797603177054e-05
2929,27299,6632300581,2020,Multifamily LR (1-4),EXECUTIVE ESTATES (BLDGS N & R),MULLALLY & SON INVESTORS LLC,5,SHARED: NORTH &amp; NORTHWEST,43,1985,14025 15TH AVE NE,SEATTLE,WA,98125,47.731,-122.31308,,,Multifamily LR (1-4),6.8,76,,25.9,26.6,1312117,1279448,72.6,74.5,0.1,0,0,1279448,374985,0,0,48863,48863,0,1,4,Multifamily Housing,49334,,,,,,No Issue,Compliant,,,Multifamily Housing,1.813405869568116e-05
2930,27300,6632300590,2020,Multifamily LR (1-4),"EXECUTIVE ESTATES (BLDGS A, B, C, D)",MULLALLY FAMILY LLC,5,SHARED: NORTH &amp; NORTHWEST,153,1966,1227 NE 143RD ST,SEATTLE,WA,98125,47.73164,-122.31409,,,Multifamily LR (1-4),24.3,73,,25.4,26.0,4686410,4573746,71.1,72.8,0.2,0,0,4573745,1340488,0,0,165694,149272,16422,1,4,Multifamily Housing,180194,,,,,,No Issue,Compliant,,,Multifamily Housing,1.812772661896265e-05
2931,27301,6632300610,2020,Multifamily LR (1-4),"EXECUTIVE ESTATES (BLDGS F, G & H)",MULLALLY FAMILY LLC,5,SHARED: NORTH &amp; NORTHWEST,146,1968,14041 15TH AVE NE,SEATTLE,WA,98125,47.73143,-122.31344,,,Multifamily LR (1-4),17.5,86,,23.5,24.0,3362631,3291441,65.8,67.2,0.1,0,0,3291441,964666,0,0,143369,127179,16190,1,3,Multifamily Housing,140047,Parking,6408,,,,No Issue,Compliant,,,Multifamily Housing,1.8140993877673723e-05
2932,27302,6632300625,2020,Multifamily LR (1-4),EXECUTIVE ESTATES (BLDGS M & N),MULLALLY FAMILY LLC,5,SHARED: NORTH &amp; NORTHWEST,56,1976,14330 12TH AVE NE,SEATTLE,WA,98125,47.73331,-122.31468,,,Multifamily LR (1-4),9.6,79,,22.8,23.3,1842575,1798952,63.7,65.3,0.2,0,0,1798952,527243,0,0,44230,44230,0,1,3,Multifamily Housing,79013,,,,,,No Issue,Compliant,,,Multifamily Housing,1.820792310187143e-05
2933,27600,6413600215,2020,Multifamily LR (1-4),12329 ROOSEVELT WAY NE,ROOSEVELT SQUARE APARTMENTS LLC,5,SHARED: NORTH &amp; NORTHWEST,60,1995,12329 ROOSEVELT WAY NE,SEATTLE,WA,98125,47.71853,-122.31898,,,Multifamily LR (1-4),7.2,92,,31.4,31.8,1379214,1360948,87.8,89.0,0.2,0,0,1360948,398871,0,0,62566,43406,19160,1,4,Multifamily Housing,43406,Parking,19160,,,,No Issue,Compliant,,,Multifamily Housing,1.8050948802996458e-05
2934,27706,6414100160,2020,Multifamily LR (1-4),ROOSEVELT PARK APTS (Used to be PARK VIEW APTS),ROOSEVELT PARK APARTMENTS LLC,1,SHARED: NORTH &amp; NORTHWEST,22,1967,12520 ROOSEVELT WAY NE,SEATTLE,WA,98125,47.72025,-122.31858,,,Multifamily LR (1-4),3.4,72,,25.9,26.6,659753,641691,72.4,74.5,0.1,0,0,641691,188069,0,0,24800,24800,0,1,4,Multifamily Housing,24800,,,,,,No Issue,Compliant,,,Multifamily Housing,1.807847119940022e-05
2935,27707,6414100161,2020,Multifamily LR (1-4),ROOSEVELT PLACE,KISH LLC,5,SHARED: NORTH &amp; NORTHWEST,23,1986,12527 ROOSEVELT WAY NE,SEATTLE,WA,98125,47.72004,-122.31924,,,Multifamily LR (1-4),3.7,79,,27.4,28.0,704575,689285,76.8,78.5,0.1,0,0,689285,202018,0,0,28470,25144,3326,1,3,Multifamily Housing,25144,Parking,3326,,,,No Issue,Compliant,,,Multifamily Housing,1.831519963567603e-05
2936,27958,6798100725,2020,Multifamily LR (1-4),"DPE Investments, LLC",DPE INVESTMENTS LLC,5,NORTH,25,1974,11500 15TH AVE NE,SEATTLE,WA,98125,47.71307,-122.31246,,,Multifamily LR (1-4),3.2,80,,25.4,25.6,612418,607841,71.2,71.8,0.1,0,0,607841,178148,0,0,23888,23888,0,1,4,Multifamily Housing,23888,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7962592900285158e-05
2937,27962,6798100830,2020,Multifamily LR (1-4),RALEIGH MANOR APTS,HENRY PROSPEROUS PROPERTY LLC,1,NORTH,39,2000,12000 15TH AVE NE,SEATTLE,WA,98125,47.71606,-122.31215,,,Multifamily LR (1-4),4.8,94,,27.1,27.3,900433,894739,76.0,76.5,0.1,0,0,894739,262233,0,0,45579,32817,12762,1,4,Multifamily Housing,28785,Parking,12762,Office,4192,,No Issue,Compliant,,,Multifamily Housing,1.8304332406676504e-05
2940,28874,2926049579,2020,Multifamily LR (1-4),CEDARVALE VILLAGE,,5,SHARED: NORTH &amp; NORTHWEST,24,1970,11222 8TH AVE NE,SEATTLE,WA,98125,47.71025,-122.3202,,,Multifamily LR (1-4),4.4,97,,26.6,27.2,842507,822971,74.4,76.1,0.1,0,0,822971,241199,0,0,30984,30984,0,1,2,Multifamily Housing,30984,,,,,,No Issue,Compliant,,,Multifamily Housing,1.824219835073943e-05
2942,49990,1453601181,2020,Multifamily LR (1-4),VALOR APARTMENT,VALOR APARTMENT ASSOCIATES,5,NORTH,,2015,12517 33RD AVE NE,SEATTLE,SEATTLE,98125,47.71986,-122.29297,,,Multifamily LR (1-4),3.3,42,,29.7,29.7,624662,624662,83.2,83.2,0.2,0,0,624662,183078,0,0,20128,20128,0,1,4,Multifamily Housing,21019,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8025104054009764e-05
2943,50379,1133000215,2020,Multifamily LR (1-4),ATHLON MIXED USE,ATHLON LLC,1,NORTH,,2016,12544 15TH AVE NE,SEATTLE,SEATTLE,98125,47.72066,-122.31229,,,Multifamily LR (1-4),4.2,98,,20.4,20.7,802328,789720,57.0,57.9,0.1,0,0,789720,231454,0,0,48121,38797,9324,1,4,Multifamily Housing,35602,Parking,8946,Office,3195,,No Issue,Compliant,,,Multifamily Housing,1.8146154311439856e-05
2944,50496,2926049224,2020,Multifamily LR (1-4),LANE APARTMENTS - EAST,EQR-LANE LLC,1,NORTH,,2019,10715 8TH AVE NE,SEATTLE,SEATTLE,98125,47.70712,-122.32171,,,Multifamily LR (1-4),9.1,82,,27.2,27.7,1750317,1717880,76.0,77.5,0.1,0,0,1717880,503482,0,0,63269,63269,0,1,4,Multifamily Housing,63269,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8074131746517253e-05
2948,20484,1453601220,2020,Multifamily MR (5-9),CITY NORTH APTS (FORMERLY REKHI BUILDING),FSC LAKE CITY ASSOCIATES LLC,1,NORTH,49,2001,12508 LAKE CITY WAY NE,SEATTLE,WA,98125,47.71951,-122.29477,,,Multifamily MR (5-9),12.0,,,25.7,26.1,2295602,2262281,71.9,72.9,0.3,0,0,2262281,663037,0,0,57775,46489,11286,1,6,Multifamily Housing,71073,Retail Store,17043,Parking,11286,,No Issue,Compliant,,,Multifamily Housing,1.8098537487349877e-05
2953,23340,3834500070,2020,Multifamily MR (5-9),KING ARTHUR'S COURT APARTMENTS,,5,NORTH,80,2000,12728 28TH AVE NE,SEATTLE,WA,98125,47.72186,-122.29733,,,Multifamily MR (5-9),11.0,93,,25.8,26.1,2096724,2072483,72.3,73.2,0.2,0,0,2072483,607410,0,0,103554,72828,30726,1,6,Multifamily Housing,80250,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8109678800151463e-05
2954,23610,7663700871,2020,Multifamily MR (5-9),PARKWAY 1 APARTMENTS,HAYRE PROPERTIES LLC,5,NORTH,30,1968,14019 32ND AVE NE,SEATTLE,WA,98125,47.73072,-122.29476,,,Multifamily MR (5-9),4.1,89,,29.8,30.5,782039,763753,83.3,85.3,0.2,0,0,763753,223843,0,0,25671,25671,0,1,5,Multifamily Housing,25671,,,,,,No Issue,Compliant,,,Multifamily Housing,1.831640926899657e-05
2955,23615,7663700891,2020,Multifamily MR (5-9),PROMENADE @ THE PARK APTS,PROMENADE LAKE CITY LLC,5,NORTH,84,2003,3215 NE 143RD ST,SEATTLE,WA,98125,47.73182,-122.29322,,,Multifamily MR (5-9),10.6,83,,27.2,27.7,2021548,1984202,76.1,77.6,0.1,0,0,1984202,581536,0,0,119355,72985,46370,1,6,Multifamily Housing,72985,,,,,,No Issue,Compliant,,,Multifamily Housing,1.822759038133495e-05
2956,25269,8902500375,2020,Multifamily MR (5-9),MEADOWBROOK VIEW FAMILY HOUSING,LIHI MEADOWBROOK ASSOCIATES LLC C/O LOW INCOME HOUSING INSTITUTE,1,NORTH,50,2002,11032 LAKE CITY WAY NE,SEATTLE,WA,98125,47.70928,-122.30045,,,Multifamily MR (5-9),9.2,,,38.4,39.2,1759297,1721179,107.4,109.8,0.2,0,0,1721179,504449,0,0,57756,50192,7564,1,5,Multifamily Housing,44604,Parking,9400,Office,250,,No Issue,Compliant,,,Multifamily Housing,1.8237720760671543e-05
2957,25617,8724200000,2020,Multifamily MR (5-9),TUSCANY AT LAKE CITY CONDOMINIUM,,1,NORTH,NOT_FOUND,1986,14300 32ND AVE NE,SEATTLE,WA,98125,47.73225,-122.29347,,,Multifamily MR (5-9),4.8,90,,28.1,28.6,926588,911768,78.8,80.1,0.1,0,0,911768,267224,0,0,32400,32400,0,1,6,Multifamily Housing,32400,,,,,,No Issue,Compliant,,,Multifamily Housing,1.7962458461814805e-05
2958,26739,4134350000,2020,Multifamily MR (5-9),LAKEHURST CONDOMINIUM,,5,NORTH,NOT_FOUND,1996,2805 NE 125TH ST,SEATTLE,WA,98125,47.71915,-122.29761,,,Multifamily MR (5-9),3.7,100,,34.3,34.8,697527,687066,95.9,97.4,0.1,0,0,687066,201368,0,0,33456,33456,0,1,5,Multifamily Housing,20058,Parking,13398,,,,No Issue,Compliant,,,Multifamily Housing,1.8374319653569585e-05
2961,28733,8632880000,2020,Multifamily MR (5-9),Thorton Place Apartments Building 2,,1,NORTH,NOT_FOUND,2008,337 NE THORNTON PL,SEATTLE,WA,98125,47.70279,-122.32434,,,Multifamily MR (5-9),25.9,,,39.2,39.5,4916800,4879734,109.7,110.5,0.2,0,0,4879733,1430168,0,0,124642,124642,0,1,7,Multifamily Housing,110172,Retail Store,6933,Restaurant,3389,,No Issue,Compliant,,,Other,1.810976053162985e-05
2962,28734,8632880000,2020,Multifamily MR (5-9),Thorton Place Apartments Building 3,,1,NORTH,NOT_FOUND,2008,307 NE THORNTON PL,SEATTLE,WA,98125,47.70222,-122.32532,,,Multifamily MR (5-9),13.7,99,,22.3,22.6,2615564,2584762,62.5,63.2,0.1,0,0,2584761,757550,0,0,120520,120520,0,1,7,Multifamily Housing,110604,Other,3043,Restaurant,2159,,No Issue,Compliant,,,Other,1.8084614876905815e-05
2967,50484,8601700000,2020,Multifamily MR (5-9),TONY LEE APTS (LIHI FIRE STATION 39 PROJECT),,1,NORTH,,2018,2820 NE 127TH ST,SEATTLE,SEATTLE,98125,47.7213,-122.29686,,,Multifamily MR (5-9),6.9,100,,20.2,20.6,1315538,1291916,56.5,57.6,0.1,0,0,1291916,378639,0,0,63985,63985,0,1,6,Multifamily Housing,54566,Pre-school/Daycare,9419,,,,No Issue,Compliant,,,Multifamily Housing,1.822316243176218e-05
2968,50510,2926049039,2020,Multifamily MR (5-9),LANE APARTMENTS- WEST BUILDING,EQR-LANE LLC,1,NORTH,,2019,10720 5TH AVE NE,SEATTLE,SEATTLE,98125,47.70747,-122.32249,,,Multifamily MR (5-9),13.5,100,,15.6,15.9,2580945,2543786,43.8,44.4,0.1,0,0,2543786,745541,0,0,158544,110389,48155,1,6,Multifamily Housing,159805,Parking,48155,Bank Branch,2930,,No Issue,Compliant,,,Multifamily Housing,1.8107656051109195e-05
2981,24601,7985400265,2020,NonResidential,Navos Office,ASAR LLC,1,DELRIDGE NEIGHBORHOODS,NOT_FOUND,1970,2600 SW HOLDEN ST,SEATTLE,WA,98126,47.53419,-122.36624,,,Office,4.8,43,,53.1,54.5,918582,894990,148.7,152.6,0.1,0,0,894990,262306,0,0,36879,36879,0,1,3,Office,16855,,,,,,No Issue,Compliant,,,Other,1.8299238294206005e-05
2985,21774,2524039050,2020,SPS-District K-12,W SEATTLE ELEM (HIGH POINT) (SPS-DISTRICT),SEATTLE SCHOOL DISTRICT NO 1,1,DELRIDGE NEIGHBORHOODS,NOT_FOUND,1988,6760 34TH AVE SW,SEATTLE,WA,98126,47.54176,-122.37349,,,K-12 School,7.2,83,,24.6,25.4,1401463,1355926,68.8,71.1,0.1,0,0,1355926,397399,0,0,54528,54528,0,1,2,K-12 School,55181,,,,,,No Issue,Compliant,,,K-12 School,1.8117811066459653e-05
2994,22830,2858600090,2020,NonResidential,FREEDOM CHURCH OF SEATTLE,WCSD 9601 35TH AVE SW LLC,1,SOUTHWEST,NOT_FOUND,1971,9601 35TH AVE SW,SEATTLE,WA,98126,47.51709,-122.37797,,,Unclassified,0.0,,,,,,,,,0.0,0,0,0,0,0,0,23772,23772,0,1,1,,,,,,,,Portfolio Manager Account Not Shared,Not Compliant,,,Other,
